episode_id,round,investment,repay_prop,reward
1595835229_90,0,11.0,0.25,17.25
1595835229_90,1,16.0,0.0,4.0
1595835229_90,2,6.0,1.0,32.0
1595835229_90,3,5.0,0.5,22.5
1595835229_90,4,4.0,0.0,16.0
1595835229_90,5,8.0,0.0,12.0
1595835229_90,6,5.0,0.25,18.75
1595835229_90,7,11.0,0.75,33.75
1595835229_90,8,13.0,0.0,7.0
1595835229_90,9,9.0,0.75,31.25
1595835231_20,0,15.0,0.25,16.25
1595835231_20,1,4.0,0.5,22.0
1595835231_20,2,0.0,0.0,20.0
1595835231_20,3,5.0,0.5,22.5
1595835231_20,4,13.0,0.0,7.0
1595835231_20,5,0.0,0.0,20.0
1595835231_20,6,0.0,0.0,20.0
1595835231_20,7,4.0,0.25,19.0
1595835231_20,8,4.0,0.25,19.0
1595835231_20,9,4.0,0.5,22.0
1595835233_77,0,5.0,0.75,26.25
1595835233_77,1,10.0,0.0,10.0
1595835233_77,2,5.0,0.0,15.0
1595835233_77,3,1.0,0.5,20.5
1595835233_77,4,1.0,0.0,19.0
1595835233_77,5,1.0,0.0,19.0
1595835233_77,6,1.0,0.75,21.25
1595835233_77,7,0.0,0.0,20.0
1595835233_77,8,1.0,0.75,21.25
1595835233_77,9,2.0,0.5,21.0
1595835238_57,0,15.0,0.5,27.5
1595835238_57,1,14.0,0.5,27.0
1595835238_57,2,13.0,1.0,46.0
1595835238_57,3,16.0,0.0,4.0
1595835238_57,4,15.0,0.25,16.25
1595835238_57,5,13.0,1.0,46.0
1595835238_57,6,16.0,0.0,4.0
1595835238_57,7,16.0,0.75,40.0
1595835238_57,8,13.0,0.0,7.0
1595835238_57,9,17.0,0.0,3.0
1595835243_57,0,6.0,0.25,18.5
1595835243_57,1,4.0,0.25,19.0
1595835243_57,2,7.0,0.0,13.0
1595835243_57,3,0.0,0.0,20.0
1595835243_57,4,2.0,0.75,22.5
1595835243_57,5,5.0,0.25,18.75
1595835243_57,6,0.0,0.0,20.0
1595835243_57,7,5.0,0.75,26.25
1595835243_57,8,10.0,0.25,17.5
1595835243_57,9,6.0,0.25,18.5
