timestep,dyad_idx,agent_name,agent_type,ii_edge,aa_edge,observation_depth,investor_wealth,investor_cumulative,dyad_investor_cumulative,investment_desired,investment,investment_multiplied,repayment,repayment_pct,investor_reward,agent_reward,agent_cumulative,episode
0,0,a1,max,1,0,4,25.0,5.0,5.0,10.0,10.0,30.0,15.0,0.5,5.0,15.0,15.0,0
0,1,a2,fair,1,0,4,17.5,2.5,-2.5,10.0,10.0,30.0,7.5,0.25,-2.5,22.5,22.5,0
1,0,a1,max,1,0,4,32.5,10.0,12.5,15.0,15.0,45.0,22.5,0.5,7.5,22.5,37.5,0
1,1,a2,fair,1,0,4,16.25,8.75,-3.75,5.0,5.0,15.0,3.75,0.25,-1.25,11.25,33.75,0
2,0,a1,max,1,0,4,32.5,8.75,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0
2,1,a2,fair,1,0,4,22.5,15.0,2.5,5.0,5.0,15.0,11.25,0.75,6.25,3.75,37.5,0
3,0,a1,max,1,0,4,32.5,15.0,12.5,0.0,0.0,0.0,0.0,0.75,0.0,0.0,37.5,0
3,1,a2,fair,1,0,4,28.75,21.25,8.75,5.0,5.0,15.0,11.25,0.75,6.25,3.75,41.25,0
4,0,a1,max,1,0,4,32.5,21.25,12.5,0.0,0.0,0.0,0.0,0.75,0.0,0.0,37.5,0
4,1,a2,fair,1,0,4,35.0,27.5,15.0,5.0,5.0,15.0,11.25,0.75,6.25,3.75,45.0,0
5,0,a1,max,1,0,4,27.5,22.5,7.5,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,52.5,0
5,1,a2,fair,1,0,4,41.25,28.75,21.25,5.0,5.0,15.0,11.25,0.75,6.25,3.75,48.75,0
6,0,a1,max,1,0,4,7.5,8.75,-12.5,20.0,20.0,60.0,0.0,0.0,-20.0,60.0,112.5,0
6,1,a2,fair,1,0,4,41.25,8.75,21.25,0.0,0.0,0.0,0.0,0.75,0.0,0.0,48.75,0
7,0,a1,max,1,0,4,-12.5,-11.25,-32.5,20.0,20.0,60.0,0.0,0.0,-20.0,60.0,172.5,0
7,1,a2,fair,1,0,4,47.5,-5.0,27.5,5.0,5.0,15.0,11.25,0.75,6.25,3.75,52.5,0
8,0,a1,max,1,0,4,-32.5,-25.0,-52.5,20.0,20.0,60.0,0.0,0.0,-20.0,60.0,232.5,0
8,1,a2,fair,1,0,4,47.5,-25.0,27.5,0.0,0.0,0.0,0.0,0.75,0.0,0.0,52.5,0
9,0,a1,max,1,0,4,-52.5,-45.0,-72.5,20.0,20.0,60.0,0.0,0.0,-20.0,60.0,292.5,0
9,1,a2,fair,1,0,4,53.75,-38.75,33.75,5.0,5.0,15.0,11.25,0.75,6.25,3.75,56.25,0
0,0,a1,max,1,0,4,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1
0,1,a2,fair,1,0,4,15.0,-5.0,-5.0,20.0,20.0,60.0,15.0,0.25,-5.0,45.0,45.0,1
1,0,a1,max,1,0,4,20.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1
1,1,a2,fair,1,0,4,0.0,-20.0,-20.0,15.0,15.0,45.0,0.0,0.0,-15.0,45.0,90.0,1
2,0,a1,max,1,0,4,20.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1
2,1,a2,fair,1,0,4,18.75,-1.25,-1.25,15.0,15.0,45.0,33.75,0.75,18.75,11.25,101.25,1
3,0,a1,max,1,0,4,20.0,-1.25,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1
3,1,a2,fair,1,0,4,25.0,5.0,5.0,5.0,5.0,15.0,11.25,0.75,6.25,3.75,105.0,1
4,0,a1,max,1,0,4,15.0,0.0,-5.0,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,15.0,1
4,1,a2,fair,1,0,4,37.5,12.5,17.5,10.0,10.0,30.0,22.5,0.75,12.5,7.5,112.5,1
5,0,a1,max,1,0,4,10.0,7.5,-10.0,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,30.0,1
5,1,a2,fair,1,0,4,50.0,20.0,30.0,10.0,10.0,30.0,22.5,0.75,12.5,7.5,120.0,1
6,0,a1,max,1,0,4,10.0,20.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1
6,1,a2,fair,1,0,4,62.5,32.5,42.5,10.0,10.0,30.0,22.5,0.75,12.5,7.5,127.5,1
7,0,a1,max,1,0,4,5.0,27.5,-15.0,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,45.0,1
7,1,a2,fair,1,0,4,68.75,33.75,48.75,5.0,5.0,15.0,11.25,0.75,6.25,3.75,131.25,1
8,0,a1,max,1,0,4,-15.0,13.75,-35.0,20.0,20.0,60.0,0.0,0.0,-20.0,60.0,105.0,1
