timestep,dyad_idx,agent_name,agent_type,ii_edge,aa_edge,observation_depth,investor_wealth,investor_cumulative,dyad_investor_cumulative,investment_desired,investment,investment_multiplied,repayment,repayment_pct,investor_reward,agent_reward,agent_cumulative,episode
0,0,a1,max,0,0,4,38.75,18.75,18.75,15.0,15.0,45.0,33.75,0.75,18.75,11.25,11.25,0
0,1,a2,fair,0,0,4,16.25,15.0,-3.75,15.0,15.0,45.0,11.25,0.25,-3.75,33.75,33.75,0
1,0,a1,max,0,0,4,38.75,15.0,18.75,0.0,0.0,0.0,0.0,0.75,0.0,0.0,11.25,0
1,1,a2,fair,0,0,4,12.5,11.25,-7.5,15.0,15.0,45.0,11.25,0.25,-3.75,33.75,67.5,0
2,0,a1,max,0,0,4,38.75,11.25,18.75,0.0,0.0,0.0,0.0,0.75,0.0,0.0,11.25,0
2,1,a2,fair,0,0,4,12.5,11.25,-7.5,0.0,0.0,0.0,0.0,0.75,0.0,0.0,67.5,0
3,0,a1,max,0,0,4,41.25,13.75,21.25,5.0,5.0,15.0,7.5,0.5,2.5,7.5,18.75,0
3,1,a2,fair,0,0,4,31.25,32.5,11.25,15.0,15.0,45.0,33.75,0.75,18.75,11.25,78.75,0
4,0,a1,max,0,0,4,36.25,27.5,16.25,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,33.75,0
4,1,a2,fair,0,0,4,43.75,40.0,23.75,10.0,10.0,30.0,22.5,0.75,12.5,7.5,86.25,0
5,0,a1,max,0,0,4,31.25,35.0,11.25,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,48.75,0
5,1,a2,fair,0,0,4,56.25,47.5,36.25,10.0,10.0,30.0,22.5,0.75,12.5,7.5,93.75,0
6,0,a1,max,0,0,4,26.25,42.5,6.25,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,63.75,0
6,1,a2,fair,0,0,4,75.0,61.25,55.0,15.0,15.0,45.0,33.75,0.75,18.75,11.25,105.0,0
7,0,a1,max,0,0,4,6.25,41.25,-13.75,20.0,20.0,60.0,0.0,0.0,-20.0,60.0,123.75,0
7,1,a2,fair,0,0,4,87.5,53.75,67.5,10.0,10.0,30.0,22.5,0.75,12.5,7.5,112.5,0
8,0,a1,max,0,0,4,1.25,48.75,-18.75,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,138.75,0
8,1,a2,fair,0,0,4,106.25,67.5,86.25,15.0,15.0,45.0,33.75,0.75,18.75,11.25,123.75,0
9,0,a1,max,0,0,4,-8.75,57.5,-28.75,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,168.75,0
9,1,a2,fair,0,0,4,125.0,76.25,105.0,15.0,15.0,45.0,33.75,0.75,18.75,11.25,135.0,0
0,0,a1,max,0,0,4,10.0,-10.0,-10.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,30.0,1
0,1,a2,fair,0,0,4,15.0,-15.0,-5.0,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,15.0,1
1,0,a1,max,0,0,4,0.0,-25.0,-20.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,60.0,1
1,1,a2,fair,0,0,4,15.0,-25.0,-5.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,15.0,1
2,0,a1,max,0,0,4,-15.0,-40.0,-35.0,15.0,15.0,45.0,0.0,0.0,-15.0,45.0,105.0,1
2,1,a2,fair,0,0,4,15.0,-40.0,-5.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,15.0,1
3,0,a1,max,0,0,4,-30.0,-55.0,-50.0,15.0,15.0,45.0,0.0,0.0,-15.0,45.0,150.0,1
3,1,a2,fair,0,0,4,5.0,-65.0,-15.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,45.0,1
