episode,investor_return,a1_return,a1_repay,a2_return,a2_repay
1,50.0,236.25,0.4,93.75,0.45
2,85.0,82.5,0.375,262.5,0.45
3,55.0,300.0,0.45,135.0,0.35
4,152.5,232.5,0.325,255.0,0.575
5,-23.75,198.75,0.275,285.0,0.275
6,75.0,172.5,0.375,142.5,0.425
7,3.75,435.0,0.275,191.25,0.5
8,13.75,390.0,0.35,206.25,0.35
9,15.0,337.5,0.225,217.5,0.475
10,46.25,228.75,0.425,225.0,0.35
11,17.5,300.0,0.35,82.5,0.375
12,68.75,45.0,0.575,296.25,0.375
13,60.0,187.5,0.475,322.5,0.4
14,170.0,45.0,0.425,135.0,0.65
15,55.0,78.75,0.55,116.25,0.525
16,-1.25,213.75,0.15,7.5,0.7
17,73.75,15.0,0.45,191.25,0.5
18,-51.25,210.0,0.275,41.25,0.6
19,66.25,210.0,0.45,243.75,0.425
20,18.75,30.0,0.475,101.25,0.525
21,3.75,360.0,0.325,116.25,0.6
22,156.25,135.0,0.45,198.75,0.625
23,98.75,161.25,0.375,90.0,0.675
24,52.5,120.0,0.425,97.5,0.6
25,88.75,7.5,0.4,213.75,0.525
26,228.75,273.75,0.425,37.5,0.85
27,71.25,120.0,0.5,108.75,0.6
28,123.75,0.0,0.525,236.25,0.575
29,-16.25,172.5,0.3,93.75,0.45
30,-17.5,60.0,0.2,7.5,0.575
31,31.25,52.5,0.425,116.25,0.6
32,207.5,97.5,0.425,165.0,0.7
33,5.0,270.0,0.35,105.0,0.55
34,73.75,157.5,0.45,48.75,0.525
35,62.5,90.0,0.475,127.5,0.55
36,101.25,240.0,0.35,48.75,0.775
37,18.75,45.0,0.4,26.25,0.6
38,21.25,78.75,0.475,120.0,0.425
39,30.0,266.25,0.375,153.75,0.275
40,77.5,15.0,0.475,97.5,0.575
41,93.75,67.5,0.5,78.75,0.675
42,90.0,37.5,0.45,142.5,0.575
43,32.5,30.0,0.5,187.5,0.425
44,100.0,165.0,0.45,75.0,0.3
45,-16.25,123.75,0.4,112.5,0.275
46,15.0,236.25,0.35,48.75,0.375
47,8.75,120.0,0.375,11.25,0.475
48,97.5,60.0,0.45,52.5,0.725
49,-5.0,375.0,0.375,270.0,0.225
50,63.75,213.75,0.525,112.5,0.15
51,-15.0,157.5,0.325,127.5,0.325
52,57.5,15.0,0.45,127.5,0.55
53,61.25,180.0,0.45,168.75,0.425
54,-13.75,123.75,0.2,90.0,0.35
55,13.75,150.0,0.45,266.25,0.325
56,21.25,56.25,0.525,172.5,0.25
57,27.5,150.0,0.5,142.5,0.25
58,12.5,78.75,0.475,78.75,0.275
59,40.0,63.75,0.475,116.25,0.4
60,23.75,30.0,0.475,116.25,0.525
61,36.25,82.5,0.45,71.25,0.45
62,13.75,60.0,0.375,56.25,0.65
63,-3.75,255.0,0.475,228.75,0.275
64,0.0,150.0,0.4,390.0,0.325
65,27.5,0.0,0.5,22.5,0.7
66,61.25,262.5,0.45,116.25,0.3
67,11.25,120.0,0.5,138.75,0.225
68,32.5,30.0,0.525,307.5,0.45
69,31.25,228.75,0.425,90.0,0.15
70,117.5,135.0,0.6,7.5,0.25
71,-7.5,142.5,0.45,105.0,0.075
72,70.0,262.5,0.5,127.5,0.15
73,105.0,127.5,0.575,157.5,0.35
74,38.75,67.5,0.5,33.75,0.5
75,0.0,90.0,0.425,0.0,0.575
76,-22.5,142.5,0.475,180.0,0.0
77,38.75,41.25,0.55,30.0,0.525
78,47.5,97.5,0.45,165.0,0.525
79,-28.75,60.0,0.475,168.75,0.3
80,10.0,105.0,0.55,225.0,0.3
81,72.5,292.5,0.475,75.0,0.225
82,7.5,247.5,0.5,225.0,0.0
83,7.5,232.5,0.45,180.0,0.2
84,55.0,187.5,0.55,187.5,0.075
85,43.75,311.25,0.425,135.0,0.275
86,128.75,63.75,0.475,247.5,0.55
87,38.75,191.25,0.5,210.0,0.325
88,32.5,0.0,0.45,157.5,0.375
89,0.0,15.0,0.3,15.0,0.65
90,60.0,300.0,0.425,90.0,0.4
91,60.0,52.5,0.475,217.5,0.45
92,13.75,142.5,0.5,213.75,0.275
93,5.0,63.75,0.475,71.25,0.525
94,58.75,172.5,0.45,78.75,0.45
95,52.5,322.5,0.425,15.0,0.225
96,157.5,157.5,0.625,45.0,0.45
97,42.5,30.0,0.5,97.5,0.475
98,81.25,135.0,0.525,213.75,0.425
99,122.5,210.0,0.55,37.5,0.525
100,48.75,45.0,0.45,86.25,0.55
101,188.75,11.25,0.475,210.0,0.65
102,116.25,135.0,0.5,18.75,0.525
103,38.75,142.5,0.45,18.75,0.475
104,32.5,90.0,0.475,187.5,0.35
105,112.5,138.75,0.55,258.75,0.425
106,98.75,225.0,0.525,176.25,0.375
107,-20.0,0.0,0.425,60.0,0.375
108,22.5,82.5,0.5,75.0,0.525
109,133.75,202.5,0.55,93.75,0.5
110,12.5,7.5,0.5,30.0,0.575
111,82.5,172.5,0.55,75.0,0.525
112,107.5,180.0,0.55,112.5,0.525
113,136.25,112.5,0.55,101.25,0.625
114,86.25,41.25,0.55,82.5,0.625
115,42.5,157.5,0.475,150.0,0.525
116,138.75,22.5,0.5,168.75,0.625
117,113.75,315.0,0.45,131.25,0.55
118,222.5,202.5,0.625,105.0,0.6
119,171.25,240.0,0.475,108.75,0.625
120,126.25,135.0,0.5,48.75,0.65
121,203.75,210.0,0.425,146.25,0.65
122,132.5,142.5,0.575,105.0,0.55
123,61.25,97.5,0.5,161.25,0.5
124,62.5,142.5,0.525,45.0,0.6
125,123.75,217.5,0.5,48.75,0.675
126,96.25,86.25,0.55,97.5,0.55
127,120.0,172.5,0.45,127.5,0.6
128,48.75,97.5,0.55,3.75,0.65
129,92.5,75.0,0.55,82.5,0.575
130,126.25,97.5,0.5,116.25,0.65
131,3.75,108.75,0.375,7.5,0.575
132,170.0,82.5,0.525,157.5,0.65
133,175.0,157.5,0.5,157.5,0.625
134,86.25,168.75,0.45,75.0,0.6
135,21.25,150.0,0.45,78.75,0.4
136,117.5,251.25,0.5,11.25,0.775
137,27.5,45.0,0.5,7.5,0.6
138,105.0,37.5,0.525,217.5,0.55
139,108.75,210.0,0.5,41.25,0.65
140,97.5,270.0,0.45,82.5,0.625
141,137.5,131.25,0.475,131.25,0.6
142,177.5,30.0,0.55,142.5,0.675
143,20.0,30.0,0.5,30.0,0.475
144,201.25,157.5,0.5,191.25,0.625
145,71.25,120.0,0.55,48.75,0.575
146,15.0,45.0,0.6,0.0,0.575
147,171.25,127.5,0.475,161.25,0.625
148,118.75,146.25,0.375,105.0,0.675
149,33.75,60.0,0.5,56.25,0.575
150,146.25,142.5,0.475,131.25,0.625
151,55.0,67.5,0.55,7.5,0.55
152,116.25,322.5,0.4,101.25,0.675
153,117.5,97.5,0.475,195.0,0.55
154,243.75,247.5,0.55,108.75,0.675
155,141.25,255.0,0.525,63.75,0.7
156,101.25,7.5,0.55,191.25,0.55
157,160.0,150.0,0.475,180.0,0.6
158,78.75,33.75,0.55,97.5,0.6
159,197.5,243.75,0.525,198.75,0.575
160,180.0,86.25,0.525,183.75,0.625
161,68.75,67.5,0.575,63.75,0.575
162,132.5,56.25,0.6,101.25,0.65
163,37.5,97.5,0.5,15.0,0.6
164,106.25,90.0,0.5,123.75,0.6
165,196.25,165.0,0.525,138.75,0.625
166,60.0,120.0,0.475,30.0,0.7
167,90.0,52.5,0.475,157.5,0.55
168,16.25,191.25,0.375,22.5,0.55
169,195.0,180.0,0.6,75.0,0.625
170,140.0,101.25,0.475,108.75,0.65
171,163.75,138.75,0.45,217.5,0.575
172,101.25,198.75,0.475,150.0,0.5
173,62.5,105.0,0.4,82.5,0.65
174,57.5,217.5,0.475,15.0,0.6
175,122.5,112.5,0.575,255.0,0.475
176,40.0,52.5,0.55,37.5,0.5
177,103.75,60.0,0.45,86.25,0.65
178,22.5,26.25,0.475,131.25,0.425
179,201.25,187.5,0.5,101.25,0.7
180,103.75,191.25,0.575,75.0,0.6
181,166.25,202.5,0.5,161.25,0.6
182,88.75,105.0,0.5,116.25,0.6
183,98.75,67.5,0.525,123.75,0.65
184,186.25,26.25,0.475,217.5,0.625
185,57.5,127.5,0.45,45.0,0.525
186,163.75,78.75,0.525,157.5,0.575
187,42.5,86.25,0.5,41.25,0.45
188,37.5,22.5,0.475,240.0,0.4
189,220.0,120.0,0.65,240.0,0.55
190,87.5,15.0,0.45,157.5,0.575
191,101.25,225.0,0.5,63.75,0.6
192,36.25,60.0,0.5,63.75,0.625
193,75.0,60.0,0.55,195.0,0.5
194,66.25,82.5,0.55,11.25,0.575
195,25.0,52.5,0.5,172.5,0.5
196,116.25,307.5,0.45,116.25,0.55
197,130.0,232.5,0.525,67.5,0.575
198,102.5,180.0,0.55,127.5,0.575
199,70.0,165.0,0.5,75.0,0.475
200,17.5,7.5,0.55,45.0,0.525
201,45.0,48.75,0.525,26.25,0.55
202,137.5,150.0,0.475,142.5,0.625
203,70.0,225.0,0.45,45.0,0.55
204,73.75,150.0,0.475,116.25,0.5
205,20.0,30.0,0.5,30.0,0.45
206,108.75,255.0,0.475,86.25,0.55
207,166.25,142.5,0.575,131.25,0.6
208,112.5,285.0,0.5,52.5,0.55
209,150.0,142.5,0.6,217.5,0.475
210,42.5,82.5,0.45,105.0,0.525
211,151.25,45.0,0.5,123.75,0.625
212,90.0,255.0,0.5,15.0,0.525
213,147.5,165.0,0.5,157.5,0.575
214,10.0,15.0,0.475,15.0,0.5
215,131.25,120.0,0.45,258.75,0.525
216,92.5,255.0,0.475,172.5,0.375
217,156.25,225.0,0.55,108.75,0.525
218,21.25,18.75,0.55,30.0,0.55
219,205.0,292.5,0.475,232.5,0.575
220,92.5,210.0,0.55,67.5,0.4
221,118.75,198.75,0.475,82.5,0.625
222,53.75,243.75,0.425,22.5,0.525
223,65.0,97.5,0.5,157.5,0.55
224,86.25,56.25,0.525,97.5,0.55
225,93.75,131.25,0.525,135.0,0.525
226,150.0,112.5,0.5,187.5,0.525
227,101.25,247.5,0.5,101.25,0.525
228,166.25,101.25,0.6,262.5,0.55
229,130.0,11.25,0.5,258.75,0.55
230,63.75,60.0,0.55,116.25,0.525
231,77.5,285.0,0.45,7.5,0.525
232,46.25,30.0,0.6,63.75,0.55
233,132.5,112.5,0.55,225.0,0.525
234,51.25,0.0,0.45,108.75,0.6
235,92.5,330.0,0.45,67.5,0.55
236,141.25,22.5,0.525,146.25,0.625
237,23.75,37.5,0.475,18.75,0.575
238,21.25,30.0,0.575,18.75,0.5
