episode,investor_return,fair_1_return,max_1_return,rnd_1_return
1,1349.65,2418.75,1934.85,1704.75
2,2012.15,1681.5,2051.85,2188.5
3,1703.55,680.25,3387.45,1896.75
4,797.7,1533.0,3025.05,1640.25
5,1207.35,976.5,2423.4,1518.75
6,970.65,2285.25,3691.35,1980.75
7,853.4,1137.75,2915.85,1473.0
8,1593.25,1038.75,3058.5,1831.5
9,1369.95,1342.2,3682.35,2119.5
10,286.55,2445.75,3830.7,2139.0
11,1105.85,1428.0,3282.9,1691.25
12,709.5,1565.25,4734.75,2566.5
13,1367.75,951.0,4090.5,2088.75
14,977.5,924.0,4231.5,2241.0
15,225.8,1829.7,4082.25,2150.25
16,-61.1,2628.6,4181.25,1949.25
17,-198.15,2767.65,4104.75,2133.75
18,115.05,1774.95,2994.75,1661.25
19,1014.5,1335.0,3836.25,2126.25
20,610.05,1634.7,4461.75,2413.5
21,751.0,1696.5,3940.5,2112.0
22,241.5,2135.25,3436.5,2040.75
23,325.05,1991.25,3261.45,2150.25
24,183.1,2169.75,2850.9,2102.25
25,851.05,1942.2,3528.0,1992.75
26,890.8,1551.0,3757.95,2192.25
27,801.05,1515.75,3109.95,2267.25
28,266.85,1983.45,3552.45,2159.25
29,789.25,2095.5,2933.25,2382.0
30,686.05,1834.2,2541.0,2244.75
31,1265.65,1438.2,1968.9,2135.25
32,1520.55,1599.75,2698.95,2190.75
33,961.6,2024.25,1730.4,2397.75
34,295.0,2397.0,1491.0,1695.0
35,-955.3,3826.35,4495.95,3033.0
36,-55.1,2832.9,2029.95,1940.25
37,456.9,2787.15,1086.45,1945.5
38,645.95,2630.25,1236.3,2221.5
39,1077.2,2095.95,1559.85,2013.0
40,2095.25,1960.5,1824.75,2719.5
41,1861.85,2103.0,1225.65,2569.5
42,1609.6,2344.5,1758.15,2625.75
43,1217.05,2753.25,1081.2,2986.5
44,762.55,2486.4,1361.55,1957.5
45,376.75,2595.75,936.75,1722.75
46,797.6,2487.75,1213.65,2115.0
47,553.45,2320.2,652.35,1434.0
48,962.5,2451.15,1006.35,2220.0
49,1180.35,2643.45,995.7,2980.5
50,1420.5,2098.95,921.3,1883.25
51,1377.9,2658.0,1550.85,2681.25
52,1127.15,2727.0,968.1,3261.75
53,1770.0,2480.25,969.0,2382.75
54,1266.35,2505.0,723.15,2305.5
55,1450.8,2670.75,724.2,2348.25
56,1329.85,2794.5,662.4,2975.25
57,1522.0,2916.0,804.75,2885.25
58,1779.65,2614.5,588.6,2771.25
59,1479.75,2890.5,702.0,2787.75
60,1576.75,2602.5,1163.25,2773.5
61,1751.75,2613.75,776.25,2966.25
62,1334.55,2769.0,494.7,3093.75
63,1739.45,2439.0,844.8,2826.75
64,2041.75,2338.5,1428.75,2715.0
65,1911.25,2470.5,910.5,2637.75
66,2056.2,2416.5,499.8,2845.5
67,2002.65,2105.25,728.1,3012.0
68,2036.95,2543.25,441.3,2902.5
69,1413.8,2811.75,742.2,2858.25
70,1878.55,2648.25,770.7,2704.5
71,1241.45,2896.5,607.8,2954.25
72,1706.1,2554.5,1103.4,2712.0
73,2031.25,2352.75,612.0,2808.0
74,2276.2,2523.0,558.3,2440.5
75,1593.2,2913.0,775.05,2742.75
76,1337.4,2933.25,678.6,3024.75
77,1732.75,2579.25,612.0,2508.0
78,1707.35,2833.5,615.15,2592.0
79,1739.95,2899.95,1061.1,2703.0
80,1514.6,2607.15,886.5,3033.75
81,1482.5,2752.5,792.0,2847.0
82,1670.55,2679.0,835.95,2860.5
83,1571.05,2768.25,576.45,2978.25
84,1619.85,2838.0,522.9,2963.25
85,1607.85,3054.75,577.65,2661.75
86,1802.1,2967.75,756.9,2699.25
87,1741.8,2655.75,818.7,2937.75
88,1722.05,2706.45,699.0,2824.5
89,1305.25,2760.0,728.25,2932.5
90,1126.15,2704.95,1092.9,2652.0
91,1382.0,2936.25,858.75,2685.0
92,1841.35,2638.2,779.7,2748.75
93,1455.6,2459.25,755.4,3063.75
94,2523.1,1992.75,1299.15,2547.0
95,1620.15,1656.45,1281.15,2756.25
96,2170.05,2276.25,675.45,2348.25
97,1615.05,2655.75,656.7,2992.5
98,956.6,2589.45,1162.2,3243.75
99,1269.55,2922.0,576.45,2844.0
100,1299.9,2942.7,621.9,3043.5
101,1535.55,2767.65,718.05,2754.75
102,2156.95,2395.05,634.5,2407.5
103,2239.1,2183.25,520.65,2727.0
104,2999.4,1682.25,573.6,2610.75
105,2279.95,2072.25,1226.55,2951.25
106,2104.2,2429.25,684.3,2552.25
107,1903.4,2612.25,821.1,2591.25
108,1824.4,2428.5,705.6,2797.5
109,2273.75,2304.45,764.55,2729.25
110,1923.1,2241.75,655.65,2839.5
111,1712.75,2769.0,494.25,2880.0
112,1955.05,2892.0,520.95,2646.0
113,1521.6,2558.25,644.4,3087.75
