episode,investor_return,fair_1_return,max_1_return,rnd_1_return
1,182.75,774.75,955.5,531.0
2,337.75,1798.5,1795.5,1088.25
3,191.9,292.95,318.9,374.25
4,637.6,887.4,1311.0,1110.0
5,616.1,367.5,895.65,546.75
6,1500.05,262.5,1463.7,1065.75
7,1539.8,219.0,1359.45,987.75
8,950.35,1286.25,1900.65,1038.75
9,-149.9,2126.7,2002.2,1245.0
10,-298.3,1842.6,1723.95,1131.75
11,48.95,1356.15,1448.4,622.5
12,-47.9,824.25,836.4,533.25
13,773.0,673.5,1828.5,987.0
14,666.6,630.0,1871.4,1080.0
15,829.6,429.75,1749.9,942.75
16,1538.35,259.5,2080.65,1183.5
17,1032.35,234.0,1917.9,1203.75
18,559.55,664.5,2084.7,1307.25
19,827.8,777.0,2065.2,900.0
20,684.0,585.75,1711.5,924.75
21,740.25,729.75,2550.75,1043.25
22,566.5,675.75,2118.75,951.0
23,446.5,690.75,2049.75,999.0
24,210.5,871.5,2168.25,1065.75
25,53.05,1086.75,2191.2,1203.0
26,92.25,1089.0,2247.75,1155.0
27,192.3,961.5,2290.2,1032.0
28,124.5,873.0,2647.5,1449.0
29,411.5,642.0,2085.0,1195.5
30,395.6,810.75,1719.9,1233.75
31,411.1,882.45,1771.95,1144.5
32,263.25,1294.5,2101.5,1170.75
33,202.25,1283.25,1845.0,1249.5
34,267.3,1269.15,1645.05,1372.5
35,577.25,984.0,1222.5,1106.25
36,653.25,816.0,1672.5,1136.25
37,894.65,617.25,1322.85,1091.25
38,959.25,830.25,2121.0,1165.5
39,772.2,1002.75,1426.8,1412.25
40,439.65,794.25,1189.35,1296.75
41,933.8,669.0,770.7,1042.5
42,883.6,922.5,798.9,1191.0
43,683.35,1202.25,1434.15,1190.25
44,536.7,1295.25,705.3,1482.75
45,607.15,1239.0,707.85,1386.0
46,695.15,1349.25,1032.6,1377.0
47,691.65,1009.2,410.4,912.75
48,1112.95,1054.5,392.55,1038.0
49,965.95,1003.5,325.8,1362.75
50,1378.75,799.2,493.8,1166.25
51,1533.15,804.75,761.85,1166.25
52,941.25,793.5,537.75,1423.5
53,1107.9,855.75,494.1,1466.25
54,969.1,903.75,341.4,1473.75
55,1410.15,772.95,704.4,1312.5
56,1054.65,906.75,873.6,1335.0
57,1635.45,808.5,439.8,1316.25
58,814.65,1068.0,974.1,1505.25
59,666.9,1406.7,365.4,1497.0
60,985.9,1056.45,520.65,1395.0
61,1080.85,937.5,394.65,1365.0
62,829.4,1023.45,252.9,1586.25
63,1180.65,837.75,351.6,1500.0
64,1358.8,1079.25,325.2,1122.75
65,1017.3,1040.7,238.5,1483.5
66,765.5,1091.25,460.5,1548.75
67,1076.7,1159.5,531.3,1390.5
68,974.3,1167.75,376.2,1317.75
69,783.4,1156.5,343.35,1542.75
70,783.55,1220.25,452.7,1405.5
71,804.85,1305.0,418.65,1459.5
72,967.45,1112.25,349.05,1205.25
73,996.6,1197.0,378.9,1357.5
74,783.6,1251.75,286.65,1344.0
75,788.75,1235.25,368.25,1311.75
76,928.65,1185.75,468.6,1035.0
77,905.2,1161.45,346.35,1491.0
78,1126.75,1056.75,413.25,1079.25
79,1219.85,1083.75,246.15,1256.25
80,1528.5,918.75,393.75,1245.0
81,1288.05,812.25,883.2,1294.5
82,1280.3,914.25,418.2,1061.25
83,1236.1,903.0,557.4,1417.5
84,1273.35,883.5,354.15,1389.0
85,1303.9,963.75,820.35,1170.0
86,1086.9,1259.25,506.85,1359.0
87,587.65,1444.5,286.35,1567.5
88,559.45,1524.75,229.8,1332.0
89,829.5,1176.0,275.25,911.25
90,865.4,1297.95,204.9,1395.75
91,818.35,1200.0,367.65,1242.0
92,956.4,1355.25,413.1,1451.25
93,574.75,1261.5,240.0,1635.75
94,1087.9,1077.9,400.95,1511.25
95,1424.75,863.25,543.0,1305.0
96,1247.5,903.0,855.0,1462.5
97,1230.3,1137.0,579.45,1301.25
98,753.5,1333.95,495.3,1421.25
99,583.7,1591.5,408.3,1474.5
100,791.85,1336.5,458.4,959.25
101,917.15,1153.5,263.85,1543.5
102,1347.45,756.75,315.3,1522.5
103,1435.65,790.5,689.1,1338.75
104,1070.05,823.5,531.45,1641.0
105,1350.0,828.75,484.5,1380.75
106,815.55,1146.0,335.7,1656.75
107,994.15,1379.25,293.85,1296.75
108,1031.1,1275.75,375.9,1217.25
109,1037.3,1137.75,351.45,1477.5
110,1047.1,1285.5,336.9,1432.5
111,1215.85,1002.0,358.65,1327.5
112,863.65,1050.0,558.6,1683.75
113,1147.25,1080.0,303.75,1293.0
114,1198.75,1215.0,386.25,1350.0
115,985.5,1203.75,435.75,1593.0
116,1065.35,1144.5,188.4,1263.75
117,1138.55,1194.0,405.45,1344.0
118,1080.95,1226.25,558.3,1276.5
119,893.3,1219.5,264.45,1548.75
120,1176.55,1266.0,214.95,1192.5
121,678.75,1206.75,259.5,1515.0
122,944.9,1347.75,346.35,1281.0
123,711.6,1375.5,213.9,1575.0
124,1108.4,1242.0,227.1,1216.5
125,751.4,1224.75,241.35,1582.5
126,1020.05,1131.75,315.45,1428.75
127,921.85,1122.0,382.65,1465.5
128,931.75,1131.0,372.0,1385.25
129,1143.65,1053.75,365.85,1248.75
130,1209.3,1086.0,747.45,827.25
131,758.95,1256.25,478.8,1602.0
132,1046.75,1289.25,380.25,1383.75
133,1116.55,1279.5,334.95,1323.0
134,854.15,1196.25,209.85,1569.75
135,1073.85,1025.25,303.9,1233.0
136,1081.9,918.45,254.4,1247.25
137,1344.0,934.5,168.0,1309.5
138,1116.35,951.0,241.65,1665.0
139,1288.45,895.5,504.3,1353.75
140,1322.85,849.75,258.15,1283.25
141,1506.8,885.75,379.2,1256.25
142,1356.55,869.25,378.45,1473.75
143,1117.9,900.75,284.85,1564.5
144,1460.75,811.5,327.0,1482.75
145,1567.8,858.75,394.2,1241.25
146,1429.05,765.0,247.95,1440.0
147,1447.95,808.5,241.05,1354.5
148,1712.3,837.75,277.95,966.0
149,1552.9,954.0,240.6,1228.5
150,1315.4,1145.25,357.6,1305.75
151,726.85,1344.75,429.9,1552.5
152,1066.15,1335.0,343.35,1357.5
153,896.9,1348.5,224.85,1533.75
154,960.25,1396.95,333.3,1447.5
155,964.9,1174.5,431.1,1549.5
156,1352.1,908.25,284.4,1421.25
157,1713.85,843.75,234.9,1327.5
158,1234.1,915.75,470.4,1533.75
159,1267.8,1270.5,310.2,1285.5
160,923.4,1390.5,239.1,1395.0
161,834.2,1491.75,293.55,1450.5
162,773.65,1408.5,227.1,1518.75
163,782.1,1509.0,336.9,1446.0
164,860.45,1263.75,181.8,1260.0
165,1006.75,1395.75,243.75,1413.75
166,852.7,1416.75,430.05,1492.5
167,1119.1,1248.75,227.4,1074.75
168,570.55,1328.25,328.95,1844.25
169,1087.6,1285.2,156.45,1362.75
170,1164.75,1389.75,213.0,970.5
171,803.8,1455.0,172.95,1442.25
172,923.45,1345.5,334.8,1466.25
173,877.8,1390.5,263.7,1590.0
174,782.95,1341.75,412.8,1504.5
175,865.75,1311.0,172.5,1578.75
176,977.05,1269.0,713.7,1394.25
177,836.0,1150.5,420.75,1290.75
178,1095.5,1245.75,327.0,1197.75
179,969.95,1277.7,245.85,1330.5
180,688.45,1445.25,217.8,1414.5
181,852.55,1324.95,383.25,1391.25
182,937.0,1212.75,255.0,1643.25
183,1480.9,1098.45,296.4,1082.25
184,1054.2,1146.75,245.55,1441.5
185,1243.7,1165.5,346.05,1176.75
186,895.1,1321.5,460.65,1458.75
187,859.1,1115.25,197.4,1658.25
