timestep,agent_name,agent_type,world_mode,observation_depth,investor_wealth,investment,investment_multiplied,repayment,repayment_pct,investor_reward,agent_reward,investor_cumulative,agent_cumulative,rnn_hidden_state,observation_window
0,fair_1,fair,0,4,10016.0,20.0,60.0,36.0,0.6,16.0,24.0,16.0,24.0,"[-0.03436946123838425, -0.005743854679167271, 0.06363627314567566, -0.13080935180187225, 0.004311614669859409]","{""own"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""others"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
0,max_1,max,0,4,10022.5,10.0,30.0,16.5,0.55,6.5,13.5,22.5,13.5,"[-0.03436946123838425, -0.005743854679167271, 0.06363627314567566, -0.13080935180187225, 0.004311614669859409]","{""own"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""others"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
0,fair_2,fair,0,4,10050.5,20.0,60.0,48.0,0.8,28.0,12.0,50.5,12.0,"[-0.03436946123838425, -0.005743854679167271, 0.06363627314567566, -0.13080935180187225, 0.004311614669859409]","{""own"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""others"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
0,max_2,max,0,4,10048.5,20.0,60.0,18.0,0.3,-2.0,42.0,48.5,42.0,"[-0.03436946123838425, -0.005743854679167271, 0.06363627314567566, -0.13080935180187225, 0.004311614669859409]","{""own"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""others"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
1,fair_1,fair,0,4,10056.5,10.0,30.0,18.0,0.6,8.0,12.0,56.5,36.0,,
1,max_1,max,0,4,10063.5,20.0,60.0,27.0,0.45,7.0,33.0,63.5,46.5,,
1,fair_2,fair,0,4,10094.5,20.0,60.0,51.0,0.85,31.0,9.0,94.5,21.0,,
1,max_2,max,0,4,10094.5,0.0,0.0,0.0,0.6,0.0,0.0,94.5,42.0,,
2,fair_1,fair,0,4,10113.0,10.0,30.0,28.5,0.95,18.5,1.5,113.0,37.5,,
2,max_1,max,0,4,10123.0,20.0,60.0,30.0,0.5,10.0,30.0,123.0,76.5,,
2,fair_2,fair,0,4,10115.0,20.0,60.0,12.0,0.2,-8.0,48.0,115.0,69.0,,
2,max_2,max,0,4,10115.0,0.0,0.0,0.0,0.3,0.0,0.0,115.0,42.0,,
3,fair_1,fair,0,4,10155.0,20.0,60.0,60.0,1.0,40.0,0.0,155.0,37.5,,
3,max_1,max,0,4,10162.0,20.0,60.0,27.0,0.45,7.0,33.0,162.0,109.5,,
3,fair_2,fair,0,4,10162.0,0.0,0.0,0.0,0.8,0.0,0.0,162.0,69.0,,
3,max_2,max,0,4,10142.0,20.0,60.0,0.0,0.0,-20.0,60.0,142.0,102.0,,
4,fair_1,fair,0,4,10179.0,20.0,60.0,57.0,0.95,37.0,3.0,179.0,40.5,,
4,max_1,max,0,4,10186.0,20.0,60.0,27.0,0.45,7.0,33.0,186.0,142.5,,
4,fair_2,fair,0,4,10186.0,0.0,0.0,0.0,1.0,0.0,0.0,186.0,69.0,,
4,max_2,max,0,4,10186.0,0.0,0.0,0.0,0.6,0.0,0.0,186.0,102.0,,
5,fair_1,fair,0,4,10223.0,20.0,60.0,57.0,0.95,37.0,3.0,223.0,43.5,,
5,max_1,max,0,4,10230.0,20.0,60.0,27.0,0.45,7.0,33.0,230.0,175.5,,
5,fair_2,fair,0,4,10270.0,20.0,60.0,60.0,1.0,40.0,0.0,270.0,69.0,,
5,max_2,max,0,4,10268.5,15.0,45.0,13.5,0.3,-1.5,31.5,268.5,133.5,,
6,fair_1,fair,0,4,10305.5,20.0,60.0,57.0,0.95,37.0,3.0,305.5,46.5,,
6,max_1,max,0,4,10310.75,15.0,45.0,20.25,0.45,5.25,24.75,310.75,200.25,,
6,fair_2,fair,0,4,10350.75,20.0,60.0,60.0,1.0,40.0,0.0,350.75,69.0,,
6,max_2,max,0,4,10335.75,15.0,45.0,0.0,0.0,-15.0,45.0,335.75,178.5,,
7,fair_1,fair,0,4,10315.75,20.0,60.0,0.0,0.0,-20.0,60.0,315.75,106.5,,
7,max_1,max,0,4,10315.75,0.0,0.0,0.0,0.45,0.0,0.0,315.75,200.25,,
7,fair_2,fair,0,4,10343.75,20.0,60.0,48.0,0.8,28.0,12.0,343.75,81.0,,
7,max_2,max,0,4,10343.75,0.0,0.0,0.0,0.0,0.0,0.0,343.75,178.5,,
8,fair_1,fair,0,4,10353.75,5.0,15.0,15.0,1.0,10.0,0.0,353.75,106.5,,
8,max_1,max,0,4,10356.75,15.0,45.0,18.0,0.4,3.0,27.0,356.75,227.25,,
8,fair_2,fair,0,4,10386.75,15.0,45.0,45.0,1.0,30.0,0.0,386.75,81.0,,
8,max_2,max,0,4,10381.75,5.0,15.0,0.0,0.0,-5.0,15.0,381.75,193.5,,
9,fair_1,fair,0,4,10411.75,15.0,45.0,45.0,1.0,30.0,0.0,411.75,106.5,,
9,max_1,max,0,4,10417.0,15.0,45.0,20.25,0.45,5.25,24.75,417.0,252.0,,
9,fair_2,fair,0,4,10397.0,20.0,60.0,0.0,0.0,-20.0,60.0,397.0,141.0,,
9,max_2,max,0,4,10397.0,0.0,0.0,0.0,0.0,0.0,0.0,397.0,193.5,,
10,fair_1,fair,0,4,10377.0,20.0,60.0,0.0,0.0,-20.0,60.0,377.0,166.5,,
10,max_1,max,0,4,10366.5,15.0,45.0,4.5,0.1,-10.5,40.5,366.5,292.5,,
10,fair_2,fair,0,4,10346.5,20.0,60.0,0.0,0.0,-20.0,60.0,346.5,201.0,,
10,max_2,max,0,4,10350.5,5.0,15.0,9.0,0.6,4.0,6.0,350.5,199.5,,
11,fair_1,fair,0,4,10335.5,15.0,45.0,0.0,0.0,-15.0,45.0,335.5,211.5,,
11,max_1,max,0,4,10332.0,5.0,15.0,1.5,0.1,-3.5,13.5,332.0,306.0,,
11,fair_2,fair,0,4,10315.0,20.0,60.0,3.0,0.05,-17.0,57.0,315.0,258.0,,
11,max_2,max,0,4,10300.0,15.0,45.0,0.0,0.0,-15.0,45.0,300.0,244.5,,
12,fair_1,fair,0,4,10295.75,5.0,15.0,0.75,0.05,-4.25,14.25,295.75,225.75,,
12,max_1,max,0,4,10295.75,0.0,0.0,0.0,0.1,0.0,0.0,295.75,306.0,,
12,fair_2,fair,0,4,10295.75,0.0,0.0,0.0,0.05,0.0,0.0,295.75,258.0,,
12,max_2,max,0,4,10295.75,0.0,0.0,0.0,0.0,0.0,0.0,295.75,244.5,,
13,fair_1,fair,0,4,10305.75,5.0,15.0,15.0,1.0,10.0,0.0,305.75,225.75,,
13,max_1,max,0,4,10291.75,20.0,60.0,6.0,0.1,-14.0,54.0,291.75,360.0,,
13,fair_2,fair,0,4,10331.75,20.0,60.0,60.0,1.0,40.0,0.0,331.75,258.0,,
13,max_2,max,0,4,10326.75,5.0,15.0,0.0,0.0,-5.0,15.0,326.75,259.5,,
14,fair_1,fair,0,4,10354.5,15.0,45.0,42.75,0.95,27.75,2.25,354.5,228.0,,
14,max_1,max,0,4,10347.5,10.0,30.0,3.0,0.1,-7.0,27.0,347.5,387.0,,
14,fair_2,fair,0,4,10384.5,20.0,60.0,57.0,0.95,37.0,3.0,384.5,261.0,,
14,max_2,max,0,4,10379.5,5.0,15.0,0.0,0.0,-5.0,15.0,379.5,274.5,,
15,fair_1,fair,0,4,10416.5,20.0,60.0,57.0,0.95,37.0,3.0,416.5,231.0,,
15,max_1,max,0,4,10409.5,10.0,30.0,3.0,0.1,-7.0,27.0,409.5,414.0,,
15,fair_2,fair,0,4,10437.5,20.0,60.0,48.0,0.8,28.0,12.0,437.5,273.0,,
15,max_2,max,0,4,10437.5,0.0,0.0,0.0,0.0,0.0,0.0,437.5,274.5,,
16,fair_1,fair,0,4,10474.5,20.0,60.0,57.0,0.95,37.0,3.0,474.5,234.0,,
16,max_1,max,0,4,10471.0,5.0,15.0,1.5,0.1,-3.5,13.5,471.0,427.5,,
16,fair_2,fair,0,4,10511.0,20.0,60.0,60.0,1.0,40.0,0.0,511.0,273.0,,
16,max_2,max,0,4,10520.75,15.0,45.0,24.75,0.55,9.75,20.25,520.75,294.75,,
17,fair_1,fair,0,4,10539.25,10.0,30.0,28.5,0.95,18.5,1.5,539.25,235.5,,
17,max_1,max,0,4,10535.75,5.0,15.0,1.5,0.1,-3.5,13.5,535.75,441.0,,
17,fair_2,fair,0,4,10515.75,20.0,60.0,0.0,0.0,-20.0,60.0,515.75,333.0,,
17,max_2,max,0,4,10495.75,20.0,60.0,0.0,0.0,-20.0,60.0,495.75,354.75,,
18,fair_1,fair,0,4,10535.75,20.0,60.0,60.0,1.0,40.0,0.0,535.75,235.5,,
18,max_1,max,0,4,10535.75,0.0,0.0,0.0,0.1,0.0,0.0,535.75,441.0,,
18,fair_2,fair,0,4,10535.75,0.0,0.0,0.0,0.0,0.0,0.0,535.75,333.0,,
18,max_2,max,0,4,10535.75,0.0,0.0,0.0,0.9,0.0,0.0,535.75,354.75,,
19,fair_1,fair,0,4,10515.75,20.0,60.0,0.0,0.0,-20.0,60.0,515.75,295.5,,
19,max_1,max,0,4,10512.25,5.0,15.0,1.5,0.1,-3.5,13.5,512.25,454.5,,
19,fair_2,fair,0,4,10495.25,20.0,60.0,3.0,0.05,-17.0,57.0,495.25,390.0,,
19,max_2,max,0,4,10490.25,5.0,15.0,0.0,0.0,-5.0,15.0,490.25,369.75,,
20,fair_1,fair,0,4,10500.25,5.0,15.0,15.0,1.0,10.0,0.0,500.25,295.5,,
20,max_1,max,0,4,10500.25,0.0,0.0,0.0,0.1,0.0,0.0,500.25,454.5,,
20,fair_2,fair,0,4,10537.25,20.0,60.0,57.0,0.95,37.0,3.0,537.25,393.0,,
20,max_2,max,0,4,10541.25,5.0,15.0,9.0,0.6,4.0,6.0,541.25,375.75,,
21,fair_1,fair,0,4,10578.25,20.0,60.0,57.0,0.95,37.0,3.0,578.25,298.5,,
21,max_1,max,0,4,10567.75,15.0,45.0,4.5,0.1,-10.5,40.5,567.75,495.0,,
21,fair_2,fair,0,4,10607.75,20.0,60.0,60.0,1.0,40.0,0.0,607.75,393.0,,
21,max_2,max,0,4,10602.75,5.0,15.0,0.0,0.0,-5.0,15.0,602.75,390.75,,
