timestep,agent_name,agent_type,world_mode,observation_depth,investor_wealth,investment,investment_multiplied,repayment,repayment_pct,investor_reward,agent_reward,investor_cumulative,agent_cumulative,rnn_hidden_state,observation_window
0,fair_1,fair,0,4,10004.0,5.0,15.0,9.0,0.6,4.0,6.0,4.0,6.0,"[-0.03436946123838425, -0.005743854679167271, 0.06363627314567566, -0.13080935180187225, 0.004311614669859409]","{""own"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""others"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
0,max_1,max,0,4,10017.0,20.0,60.0,33.0,0.55,13.0,27.0,17.0,27.0,"[-0.03436946123838425, -0.005743854679167271, 0.06363627314567566, -0.13080935180187225, 0.004311614669859409]","{""own"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""others"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
0,fair_2,fair,0,4,10045.0,20.0,60.0,48.0,0.8,28.0,12.0,45.0,12.0,"[-0.03436946123838425, -0.005743854679167271, 0.06363627314567566, -0.13080935180187225, 0.004311614669859409]","{""own"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""others"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
0,max_2,max,0,4,10043.0,20.0,60.0,18.0,0.3,-2.0,42.0,43.0,42.0,"[-0.03436946123838425, -0.005743854679167271, 0.06363627314567566, -0.13080935180187225, 0.004311614669859409]","{""own"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""others"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
1,fair_1,fair,0,4,10059.0,20.0,60.0,36.0,0.6,16.0,24.0,59.0,30.0,,
1,max_1,max,0,4,10066.0,20.0,60.0,27.0,0.45,7.0,33.0,66.0,60.0,,
1,fair_2,fair,0,4,10103.0,20.0,60.0,57.0,0.95,37.0,3.0,103.0,15.0,,
1,max_2,max,0,4,10119.0,20.0,60.0,36.0,0.6,16.0,24.0,119.0,66.0,,
2,fair_1,fair,0,4,10123.0,5.0,15.0,9.0,0.6,4.0,6.0,123.0,36.0,,
2,max_1,max,0,4,10128.0,10.0,30.0,15.0,0.5,5.0,15.0,128.0,75.0,,
2,fair_2,fair,0,4,10120.0,20.0,60.0,12.0,0.2,-8.0,48.0,120.0,63.0,,
2,max_2,max,0,4,10145.5,15.0,45.0,40.5,0.9,25.5,4.5,145.5,70.5,,
3,fair_1,fair,0,4,10182.5,20.0,60.0,57.0,0.95,37.0,3.0,182.5,39.0,,
3,max_1,max,0,4,10189.5,20.0,60.0,27.0,0.45,7.0,33.0,189.5,108.0,,
3,fair_2,fair,0,4,10196.5,5.0,15.0,12.0,0.8,7.0,3.0,196.5,66.0,,
3,max_2,max,0,4,10208.5,15.0,45.0,27.0,0.6,12.0,18.0,208.5,88.5,,
4,fair_1,fair,0,4,10208.5,0.0,0.0,0.0,0.95,0.0,0.0,208.5,39.0,,
4,max_1,max,0,4,10215.5,20.0,60.0,27.0,0.45,7.0,33.0,215.5,141.0,,
4,fair_2,fair,0,4,10198.5,20.0,60.0,3.0,0.05,-17.0,57.0,198.5,123.0,,
4,max_2,max,0,4,10214.5,20.0,60.0,36.0,0.6,16.0,24.0,214.5,112.5,,
5,fair_1,fair,0,4,10194.5,20.0,60.0,0.0,0.0,-20.0,60.0,194.5,99.0,,
5,max_1,max,0,4,10201.5,20.0,60.0,27.0,0.45,7.0,33.0,201.5,174.0,,
5,fair_2,fair,0,4,10181.5,20.0,60.0,0.0,0.0,-20.0,60.0,181.5,183.0,,
5,max_2,max,0,4,10197.5,20.0,60.0,36.0,0.6,16.0,24.0,197.5,136.5,,
6,fair_1,fair,0,4,10180.5,20.0,60.0,3.0,0.05,-17.0,57.0,180.5,156.0,,
