episode,investor_return,fair_1,max_1,fair_2,max_2,fair_1_repay,max_1_repay,fair_2_repay,max_2_repay
1,351716.25,95054.25,95570.25,166716.75,93982.5,0.8200599999999751,0.20884000000000738,0.5460399999999991,0.18461499999998818
2,451699.5,88567.5,74665.5,150342.75,68004.75,0.837299999999978,0.17429499999998704,0.7198349999999877,0.15821999999998512
3,305332.5,220417.5,63237.75,168895.5,81906.75,0.5892449999999806,0.17988499999999566,0.6899800000000049,0.1720149999999925
4,107393.5,296861.25,56061.75,279858.75,67644.75,0.45148499999999303,0.18904999999999675,0.4622450000000069,0.15778499999999898
5,-10000.000000000002,154916.009743974,37768.75996875,122884.35419801484,42915.7594455334,0.3633950000000301,0.14284999999999132,0.45349999999999036,0.13413499999999268
6,36301.75,275815.5,46173.75,177282.0,45627.0,0.43127999999999395,0.23796999999999993,0.3530349999999888,0.1544599999999932
7,201764.25,207555.0,98289.0,214791.0,60240.75,0.6212349999999697,0.26838500000001475,0.46547500000002073,0.1712349999999916
8,275855.25,125944.5,153035.25,311420.25,57084.75,0.7708999999999678,0.3207049999999952,0.41153500000003695,0.24623500000000303
9,225067.5,279855.75,159177.0,246712.5,112367.25,0.4829099999999746,0.21784499999999415,0.5510350000000279,0.4837850000000024
10,224801.5,203684.25,122952.75,281296.5,167895.0,0.6193149999999896,0.24299000000000692,0.42871000000002885,0.3645599999999886
11,252428.0,188371.5,119841.75,203554.5,146384.25,0.26800000000000307,0.20196499999999606,0.5693700000000146,0.6649850000000166
12,234229.0,54189.75,71477.25,158205.75,270368.25,0.2954250000000156,0.3036450000000062,0.6747200000000421,0.4633300000000121
13,74826.75,228842.25,69343.5,240404.25,196043.25,0.44329999999999925,0.37854000000001553,0.40697499999999875,0.283510000000008
14,342575.0,177775.5,108077.25,77987.25,270765.0,0.5425150000000035,0.1439899999999931,0.8532550000000018,0.28108000000001304
15,232442.0,269458.5,77089.5,185838.0,317262.0,0.4170949999999968,0.2265399999999981,0.6646700000000297,0.35242000000001905
16,450441.5,189548.25,128637.0,109032.0,281351.25,0.5711249999999863,0.28733500000001444,0.8012750000000077,0.4677900000000078
17,474227.0,119949.0,79282.5,138693.75,286167.75,0.776304999999994,0.3133450000000055,0.7529549999999677,0.3355100000000163
18,291133.5,226523.25,73091.25,115405.5,297316.5,0.38972500000002,0.2819449999999945,0.7946800000000036,0.3114150000000086
19,426157.25,209736.75,83073.0,82935.75,223667.25,0.6132049999999833,0.18578000000000588,0.854079999999925,0.2881799999999989
20,184275.25,233760.0,98799.75,225856.5,231418.5,0.40590500000000473,0.35084500000000246,0.5985100000000171,0.31230000000000246
21,220887.0,198691.5,134643.75,260717.25,235450.5,0.6467299999999815,0.15719499999999567,0.42569000000001017,0.3842999999999938
22,361221.75,134445.75,93534.0,224347.5,247401.0,0.7614299999999679,0.18241499999999153,0.5909350000000178,0.30014000000000424
23,123828.0,277615.5,133236.75,253320.75,193629.0,0.34836000000001494,0.17830499999999327,0.5472100000000223,0.3673800000000099
24,301543.5,207516.0,31145.25,232453.5,206511.75,0.6335099999999877,0.23746999999999985,0.5911650000000168,0.29842500000001093
25,428700.25,95938.5,56989.5,166386.0,261495.75,0.8313249999999774,0.22694500000000803,0.629090000000017,0.38761000000001433
26,112433.0,263263.5,49578.75,198434.25,214450.5,0.5352749999999978,0.15425999999998835,0.36706500000002906,0.29249500000000445
27,143692.5,243012.75,101358.75,148913.25,209082.75,0.5678650000000081,0.43226500000002405,0.33812500000003726,0.2752750000000095
28,393039.5,211089.75,287690.25,144578.25,264212.25,0.4658200000000246,0.29409500000000255,0.7383649999999676,0.50038000000001
29,272228.0,185240.25,61394.25,289611.0,183796.5,0.6768299999999994,0.13289499999999854,0.4856350000000328,0.3279850000000007
30,202563.75,202250.25,136765.5,209714.25,211256.25,0.6059500000000136,0.4197600000000145,0.30985500000001687,0.42011000000001686
31,207988.0,157876.5,226694.25,238442.25,164649.0,0.598465000000012,0.38327500000001474,0.4860950000000108,0.2056350000000002
32,499561.0,151178.25,103941.75,70670.25,272808.75,0.5910299999999865,0.41690999999999884,0.8768149999999565,0.39845499999998824
33,437222.0,113832.0,253289.25,166330.5,207146.25,0.7410899999999627,0.389800000000013,0.7107299999999742,0.3379200000000103
34,388069.75,124925.25,91181.25,229051.5,287252.25,0.775179999999914,0.3283349999999921,0.563704999999996,0.38131999999999705
35,475401.5,85485.0,120570.0,199021.5,208602.0,0.8486349999999129,0.3426949999999946,0.6459850000000019,0.3201449999999994
36,474595.5,180917.25,181129.5,117254.25,185893.5,0.6687099999999698,0.3551399999999958,0.7968650000000055,0.3304900000000088
37,270173.75,226492.5,195561.0,254361.75,170331.0,0.5486999999999864,0.3902399999999897,0.5490450000000129,0.30204500000000645
38,423606.5,182817.75,153617.25,150128.25,262340.25,0.6129549999999688,0.27809500000001813,0.734969999999967,0.4720300000000226
39,205161.5,256821.75,146538.75,291875.25,255072.75,0.5471249999999894,0.29487000000001573,0.4486550000000162,0.3814300000000033
40,433256.0,288372.0,276551.25,49149.0,226911.75,0.49403000000000113,0.36019500000000376,0.9124300000000086,0.2811250000000097
41,30674.5,306138.75,242514.0,145665.0,148887.75,0.3273150000000189,0.3710450000000088,0.28788000000002856,0.2979050000000132
42,494473.25,274371.75,228450.75,53877.0,185087.25,0.43963999999999914,0.546110000000001,0.9022849999999824,0.30544000000000937
43,240032.75,182800.5,201232.5,183383.25,259851.0,0.5014550000000033,0.5696650000000295,0.4087050000000352,0.3880549999999995
44,14701.5,110527.5,293513.25,52899.75,190788.0,0.3607449999999792,0.4216100000000044,0.22496500000003147,0.20193999999998946
45,142853.0,137420.25,279234.75,20349.75,219002.25,0.4147050000000165,0.43189000000001354,0.3805700000000324,0.33527500000000493
46,328255.0,172961.25,293385.0,166858.5,169130.25,0.47761000000001375,0.3887000000000017,0.704955000000017,0.28365000000000806
47,233037.0,60606.0,248361.0,188622.75,217673.25,0.6604149999999842,0.5335200000000017,0.3470650000000086,0.3187300000000077
48,493962.25,63391.5,291342.0,112774.5,193149.75,0.7580299999999642,0.46964499999998127,0.7844699999999957,0.2238599999999968
49,520732.75,89091.75,283780.5,57426.0,178749.0,0.5954749999999969,0.40241000000001687,0.8998849999999992,0.38635499999999673
50,230139.75,106800.0,301184.25,289142.25,136083.75,0.6126249999999722,0.4514749999999895,0.33722500000003236,0.33054499999999487
51,515425.5,104322.0,247309.5,224907.0,258186.0,0.7247449999999881,0.5743050000000072,0.6051449999999995,0.36320499999999234
52,412047.75,83530.5,266721.75,137187.0,170373.0,0.8339699999999531,0.3953650000000301,0.5581700000000113,0.2333150000000031
53,192985.25,291768.75,314574.75,230997.75,202483.5,0.42490000000001454,0.36652500000001026,0.49221500000000296,0.4189350000000085
54,438977.0,141760.5,270019.5,122535.75,120677.25,0.7421249999999936,0.49841499999998234,0.6982349999999957,0.13407999999998851
55,250212.5,273589.5,313712.25,159951.0,271014.75,0.3257700000000046,0.443410000000009,0.660465000000003,0.4117050000000014
56,451829.0,80508.0,297981.0,133490.25,161931.75,0.857749999999934,0.40795500000000007,0.5120400000000274,0.31195500000002163
57,353569.0,191576.25,235741.5,124917.75,173545.5,0.6129949999999936,0.31516499999999625,0.7449699999999938,0.3267900000000047
58,316995.0,130773.75,216114.0,203381.25,172356.0,0.7457849999999173,0.29615500000001116,0.506320000000024,0.3954500000000213
59,362652.25,77486.25,260037.75,141602.25,125611.5,0.8630349999999717,0.44591000000000397,0.384710000000006,0.38856000000001983
60,395714.25,66430.5,285047.25,109537.5,138160.5,0.8845849999999611,0.41563500000001685,0.4036699999999966,0.3083850000000098
61,377502.75,186375.75,187640.25,169738.5,88242.75,0.6623000000000258,0.38452000000001135,0.6424699999999841,0.28701000000000604
62,371244.25,200317.5,209559.0,87620.25,162279.0,0.44135500000000877,0.46440500000000584,0.8300549999999673,0.3339650000000165
63,200772.75,258870.0,200074.5,186674.25,61588.5,0.5027499999999885,0.29351999999999445,0.5464899999999983,0.2677499999999911
64,23112.5,204494.25,186272.25,91140.0,38721.0,0.3497000000000311,0.3502250000000211,0.3932749999999879,0.21807999999999383
65,631184.5,49496.25,249155.25,171351.75,121262.25,0.9077450000000239,0.553974999999992,0.6784650000000064,0.30196500000000276
66,501563.25,108889.5,199080.75,162935.25,223481.25,0.813704999999958,0.35516500000000994,0.6775999999999772,0.34488999999999453
67,345521.5,206706.75,272396.25,168486.75,134448.75,0.6427249999999984,0.416754999999995,0.6079150000000203,0.2536749999999835
68,605622.25,138618.75,307375.5,53843.25,48890.25,0.7586849999999542,0.41381499999997934,0.9067049999999591,0.18943999999998906
69,121855.0,149864.25,264177.0,148785.0,214998.75,0.39335000000003784,0.4525999999999952,0.3965499999999782,0.4433700000000037
70,360114.0,241946.25,357903.75,25712.25,26613.75,0.3126600000000083,0.33664000000000616,0.9435099999999594,0.3513349999999963
71,588762.75,130697.25,283760.25,73136.25,97483.5,0.7645949999999955,0.3623349999999969,0.8737749999999749,0.43176000000001175
72,388416.75,227221.5,269873.25,22846.5,35802.0,0.40149999999999547,0.3248149999999978,0.9609450000000077,0.33623000000000913
73,481838.25,227167.5,264747.0,86835.75,184681.5,0.5945400000000218,0.3927349999999846,0.8437899999999614,0.3276599999999948
74,225243.0,211334.25,201399.75,254191.5,218341.5,0.6298050000000197,0.33815500000000415,0.4295450000000039,0.2973350000000005
75,238802.25,230751.0,217062.75,178342.5,110071.5,0.4668099999999985,0.45113499999998413,0.5586250000000176,0.3376099999999874
76,246662.25,98816.25,237033.0,85269.0,170659.5,0.3846550000000162,0.4554050000000042,0.6444700000000229,0.4116850000000157
77,338870.25,42671.25,320271.0,151608.0,170389.5,0.8638649999999387,0.401305000000001,0.4332950000000241,0.22853999999999647
78,79871.25,184460.25,241983.0,72042.0,102853.5,0.4025650000000258,0.4331699999999929,0.32354499999998126,0.28329499999998903
79,147677.5,173352.75,235749.75,81790.5,88159.5,0.5464200000000144,0.3365799999999983,0.6549700000000294,0.31488500000000424
80,384297.0,115393.5,194490.75,155684.25,121144.5,0.7885300000000119,0.31639500000000453,0.6045750000000483,0.24735000000001156
81,74827.25,171759.0,240036.75,135536.25,142620.75,0.0835749999999902,0.3276749999999873,0.601720000000035,0.41708499999999293
82,145257.25,13399.5,305324.25,57375.0,60864.0,0.5396350000000256,0.37081500000000234,0.6432049999999816,0.2211250000000021
83,590441.0,45573.75,240930.75,100692.75,68601.75,0.9211549999999512,0.4166149999999986,0.7898599999999815,0.31586499999999806
84,423419.25,81699.75,134230.5,194519.25,35231.25,0.8599500000000205,0.279804999999996,0.5659249999999939,0.4249999999999911
85,378239.25,170352.75,291287.25,175151.25,101599.5,0.6884049999999776,0.47162000000001425,0.5678400000000204,0.2401499999999914
86,134453.25,127381.5,290347.5,94442.25,33235.5,0.47489999999999327,0.45991999999999644,0.5802599999999829,0.25543999999999073
87,205877.75,136899.0,296555.25,45488.25,123789.75,0.27856999999999443,0.428529999999996,0.7761250000000155,0.3840750000000009
88,563759.5,64639.5,260943.0,125475.0,59343.0,0.8672699999999548,0.3668299999999987,0.7867500000000412,0.41930500000000887
89,141032.5,127298.25,296422.5,149499.75,16557.0,0.33152500000000423,0.4449199999999846,0.511649999999993,0.273239999999994
90,393777.5,189447.75,263145.75,45639.75,59249.25,0.429505000000012,0.4066949999999888,0.9068849999998998,0.31139999999998297
91,509596.5,105955.5,296013.0,30753.0,37392.0,0.6245300000000013,0.4148100000000025,0.9456400000000078,0.39067500000001276
92,594183.75,16737.0,265046.25,152151.75,80921.25,0.966529999999991,0.4356799999999989,0.6248199999999594,0.18270499999999998
93,376255.5,161732.25,299966.25,149816.25,63309.75,0.7263749999999892,0.3878199999999929,0.5148550000000248,0.2596899999999865
94,384147.0,186959.25,279088.5,136523.25,47322.0,0.6794899999999764,0.3782799999999904,0.6309350000000269,0.3963199999999894
95,423538.5,129936.0,286052.25,94949.25,69354.0,0.47796500000003544,0.4103899999999892,0.8248099999999043,0.2911099999999975
96,453750.5,82028.25,299672.25,107477.25,49971.75,0.8474050000000012,0.39858499999998914,0.5529449999999835,0.33561999999999337
97,615438.5,82209.0,242395.5,48576.0,32061.0,0.8476950000000381,0.3936400000000042,0.9029500000000058,0.26559999999999423
98,553712.5,42947.25,279261.75,36160.5,26268.0,0.9214350000000426,0.4333249999999962,0.8217650000000065,0.4550350000000098
99,373909.5,149577.0,383058.0,81512.25,149633.25,0.47911000000001247,0.29581499999999356,0.862625000000018,0.3332649999999844
100,379276.5,169641.0,338436.75,141087.0,233058.75,0.6391250000000157,0.37906000000001316,0.6353299999999861,0.379054999999998
