timestep,agent_name,agent_type,world_mode,observation_depth,investor_wealth,investment_desired,investment,investment_multiplied,repayment,repayment_pct,investor_reward,agent_reward,investor_cumulative,agent_cumulative,episode
0,fair_1,fair,0,4,38.75,5.0,5.0,15.0,3.75,0.25,-1.25,11.25,-1.25,11.25,0
0,max_1,max,0,4,28.75,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,-11.25,30.0,0
1,fair_1,fair,0,4,28.75,0.0,0.0,0.0,0.0,0.5,0.0,0.0,-11.25,11.25,0
1,max_1,max,0,4,23.75,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,-16.25,45.0,0
2,fair_1,fair,0,4,26.25,5.0,5.0,15.0,7.5,0.5,2.5,7.5,-13.75,18.75,0
2,max_1,max,0,4,26.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,-13.75,45.0,0
3,fair_1,fair,0,4,46.25,10.0,10.0,30.0,30.0,1.0,20.0,0.0,6.25,18.75,0
3,max_1,max,0,4,41.25,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,1.25,60.0,0
4,fair_1,fair,0,4,53.75,10.0,10.0,30.0,22.5,0.75,12.5,7.5,13.75,26.25,0
4,max_1,max,0,4,48.75,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,8.75,75.0,0
5,fair_1,fair,0,4,73.75,20.0,20.0,60.0,45.0,0.75,25.0,15.0,33.75,41.25,0
5,max_1,max,0,4,68.75,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,28.75,90.0,0
6,fair_1,fair,0,4,75.0,5.0,5.0,15.0,11.25,0.75,6.25,3.75,35.0,45.0,0
6,max_1,max,0,4,70.0,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,30.0,105.0,0
7,fair_1,fair,0,4,76.25,5.0,5.0,15.0,11.25,0.75,6.25,3.75,36.25,48.75,0
7,max_1,max,0,4,76.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.25,105.0,0
8,fair_1,fair,0,4,82.5,5.0,5.0,15.0,11.25,0.75,6.25,3.75,42.5,52.5,0
8,max_1,max,0,4,82.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.5,105.0,0
9,fair_1,fair,0,4,88.75,5.0,5.0,15.0,11.25,0.75,6.25,3.75,48.75,56.25,0
9,max_1,max,0,4,83.75,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,43.75,120.0,0
0,fair_1,fair,0,4,38.75,5.0,5.0,15.0,3.75,0.25,-1.25,11.25,-1.25,11.25,1
