episode,investor_return,fair_1_return,fair_1_repay,max_1_return,max_1_repay
1,32.5,45.0,0.35,82.5,0.325
2,92.5,138.75,0.3,288.75,0.5
3,212.5,150.0,0.6,247.5,0.45
4,-8.75,56.25,0.325,112.5,0.35
5,-22.5,176.25,0.275,206.25,0.35
6,93.75,176.25,0.525,150.0,0.4
7,141.25,150.0,0.6,138.75,0.35
8,62.5,217.5,0.275,210.0,0.5
9,-1.25,213.75,0.275,37.5,0.425
10,268.75,123.75,0.775,127.5,0.35
11,110.0,157.5,0.3,202.5,0.6
12,303.75,93.75,0.75,112.5,0.5
13,-16.25,90.0,0.35,86.25,0.325
14,301.25,142.5,0.7,146.25,0.525
15,10.0,75.0,0.375,45.0,0.35
16,32.5,90.0,0.5,67.5,0.4
17,3.75,52.5,0.425,123.75,0.3
18,-12.5,45.0,0.3,157.5,0.375
19,312.5,101.25,0.75,236.25,0.425
20,-12.5,157.5,0.25,15.0,0.325
21,118.75,150.0,0.55,191.25,0.325
22,43.75,86.25,0.4,120.0,0.525
23,5.0,172.5,0.3,52.5,0.3
24,55.0,82.5,0.475,112.5,0.425
25,17.5,112.5,0.325,150.0,0.375
26,345.0,30.0,0.95,75.0,0.4
27,25.0,112.5,0.4,142.5,0.3
28,-7.5,146.25,0.25,41.25,0.35
29,213.75,150.0,0.75,146.25,0.275
30,125.0,135.0,0.625,270.0,0.45
31,105.0,135.0,0.4,300.0,0.5
32,5.0,33.75,0.525,191.25,0.325
33,7.5,112.5,0.45,240.0,0.325
34,153.75,206.25,0.575,90.0,0.4
35,15.0,101.25,0.475,213.75,0.375
36,26.25,56.25,0.6,157.5,0.375
37,51.25,116.25,0.675,52.5,0.45
38,32.5,30.0,0.625,67.5,0.4
39,43.75,101.25,0.55,195.0,0.4
40,43.75,101.25,0.65,195.0,0.475
41,127.5,180.0,0.6,52.5,0.4
42,272.5,90.0,0.825,157.5,0.3
43,8.75,97.5,0.575,183.75,0.3
44,257.5,0.0,1.0,82.5,0.325
45,8.75,120.0,0.575,221.25,0.325
46,47.5,146.25,0.55,56.25,0.45
47,118.75,150.0,0.675,131.25,0.35
48,26.25,18.75,0.875,105.0,0.375
49,238.75,67.5,0.825,123.75,0.4
50,160.0,153.75,0.65,266.25,0.35
51,31.25,15.0,0.8,33.75,0.525
52,170.0,120.0,0.7,150.0,0.325
53,33.75,0.0,0.975,86.25,0.525
54,-13.75,82.5,0.7,191.25,0.325
55,48.75,0.0,0.925,71.25,0.275
56,62.5,123.75,0.7,153.75,0.275
57,42.5,71.25,0.7,56.25,0.35
58,296.25,60.0,0.875,213.75,0.375
59,126.25,93.75,0.725,30.0,0.35
60,80.0,18.75,0.875,131.25,0.45
61,-22.5,97.5,0.6,135.0,0.25
62,92.5,56.25,0.8,41.25,0.5
63,65.0,153.75,0.65,71.25,0.4
64,61.25,18.75,0.725,120.0,0.325
65,88.75,116.25,0.625,45.0,0.4
66,135.0,18.75,0.925,56.25,0.3
67,277.5,67.5,0.875,285.0,0.45
68,137.5,75.0,0.75,217.5,0.425
69,87.5,71.25,0.725,71.25,0.3
70,166.25,101.25,0.675,292.5,0.475
71,296.25,82.5,0.85,71.25,0.4
72,112.5,93.75,0.7,123.75,0.4
73,30.0,108.75,0.7,101.25,0.3
74,97.5,41.25,0.75,161.25,0.35
75,68.75,45.0,0.775,146.25,0.275
76,23.75,48.75,0.775,157.5,0.35
77,120.0,48.75,0.825,281.25,0.325
78,46.25,52.5,0.75,161.25,0.3
79,150.0,48.75,0.85,101.25,0.4
80,157.5,45.0,0.85,127.5,0.475
81,130.0,67.5,0.775,172.5,0.3
82,38.75,101.25,0.725,60.0,0.4
83,196.25,18.75,0.925,135.0,0.25
84,226.25,153.75,0.675,300.0,0.475
85,55.0,161.25,0.525,273.75,0.275
86,112.5,18.75,0.875,198.75,0.4
