episode,investor_return,fair_1_return,max_1_return,rnd_1_return
1,1418.15,2316.75,1461.6,1627.5
2,3110.9,1547.4,1050.45,2189.25
3,3525.5,1020.0,1407.0,1825.5
4,2834.3,1422.0,2765.7,2244.0
5,915.8,1318.5,2674.2,1687.5
6,1641.65,1218.75,3259.35,1688.25
7,792.4,1113.75,2675.85,1368.0
8,786.75,1700.25,3043.5,1831.5
9,2025.1,1005.75,4187.4,2385.75
10,1547.75,1161.75,4524.75,2247.75
11,2273.25,556.5,4309.5,2058.75
12,1039.25,1431.75,4869.75,2585.25
13,1316.75,1444.5,4405.5,2351.25
14,747.5,1589.25,4912.5,2724.75
15,79.05,2415.45,4909.5,2634.0
16,-750.4,3274.65,4023.75,1878.0
17,-281.65,2023.2,2927.7,1548.75
18,373.5,2367.0,4206.75,2478.75
19,1002.5,1476.0,4179.75,2283.75
20,35.15,2069.1,3538.5,2117.25
21,447.55,2415.0,4612.95,2374.5
22,345.0,2104.5,3768.75,2205.75
23,172.75,2509.5,4151.25,2566.5
24,455.05,2661.0,4825.2,2958.75
25,449.3,2852.7,3996.75,2285.25
26,186.5,2664.75,4725.75,2715.0
27,64.5,2437.5,4074.0,2658.0
28,178.8,2004.75,3502.95,2053.5
29,232.45,2402.55,3757.5,2413.5
30,-133.3,2655.6,3184.2,2143.5
31,-235.95,2816.25,3190.95,2160.75
32,699.3,2818.5,2565.45,2070.75
33,240.1,2745.9,3308.25,2607.75
34,880.75,1921.5,2665.5,1742.25
35,1220.6,1857.0,3105.9,2806.5
36,1575.6,1128.0,2985.9,1996.5
37,1667.5,1860.75,2814.0,2295.75
38,1465.55,1537.95,2856.75,2259.75
39,1548.8,1800.3,3331.65,2213.25
40,1380.45,2203.35,2209.2,2433.0
41,1008.35,2749.35,1591.05,2147.25
42,1411.65,2545.95,2071.65,2628.75
43,1791.5,1851.0,2301.0,2956.5
44,1530.35,2116.5,2558.4,2442.75
45,1435.4,2775.0,1694.1,2617.5
46,1217.55,3015.75,1450.2,2662.5
47,1634.3,2693.25,1931.7,2550.75
48,2006.3,2400.0,1515.45,2906.25
49,1392.05,2423.7,1377.75,3016.5
50,1507.9,2905.35,774.0,2328.75
51,1448.05,2933.25,756.45,2726.25
52,1328.25,2419.5,1312.5,3261.75
53,2194.8,2307.0,1076.7,2521.5
54,1634.7,2832.0,562.8,2650.5
55,1383.25,2777.25,1834.5,2589.0
56,1353.4,2127.6,684.0,2199.0
57,1602.05,2938.5,802.95,2956.5
58,1672.65,2610.75,1175.85,2778.75
59,1538.5,2800.5,1167.0,2754.0
60,1719.95,2691.0,864.3,2844.75
61,1949.3,2358.75,1272.45,2977.5
62,1943.7,2214.0,472.8,3097.5
63,2363.0,1788.0,1006.5,2830.5
64,2162.7,2373.75,1193.55,2730.0
65,1667.3,2805.75,1126.2,2682.75
66,2506.4,2025.0,656.1,2890.5
67,1753.45,2304.0,1338.3,3038.25
68,2152.9,2472.75,400.35,2910.0
69,1863.75,2384.25,874.5,2779.5
70,2635.35,1871.25,888.9,2704.5
71,2048.4,2131.5,575.85,2954.25
72,2449.2,1739.25,1388.55,2625.0
73,2441.85,1237.5,599.4,2309.25
74,2967.5,1454.25,630.0,2234.25
75,2767.55,1773.0,746.7,2742.75
76,2399.9,1914.0,702.6,3043.5
77,2587.1,1833.75,840.15,2469.0
78,2177.25,2431.5,598.5,2610.75
79,2048.0,2623.95,844.8,2699.25
80,1710.6,2478.0,890.4,3105.0
81,1814.35,2556.0,527.4,2858.25
82,2097.0,2381.25,777.75,2898.0
83,1964.9,2392.5,630.6,2982.0
84,2105.75,2373.75,589.5,2997.0
85,1810.8,2826.75,615.45,2673.0
86,2009.15,2777.25,826.35,2699.25
87,1807.85,2705.7,583.95,2926.5
88,1525.45,2944.95,655.35,2858.25
89,1057.65,3068.1,659.25,2955.0
90,1689.6,2321.25,1379.4,2973.75
91,2047.0,2133.45,1441.05,2764.5
92,2029.25,2414.7,991.8,2756.25
93,1599.25,2358.75,1028.25,3093.75
94,2884.85,1798.5,1095.15,2569.5
95,1827.4,1873.05,866.55,3087.0
96,1951.35,2466.15,509.25,2303.25
97,1012.75,3396.9,614.1,2996.25
98,1563.2,2189.4,917.4,3300.0
99,2131.55,2134.2,600.75,2881.5
100,1858.05,2403.45,609.0,3043.5
101,1958.45,2215.8,1314.0,2769.75
102,1764.2,2177.1,862.95,2175.75
103,2295.1,2266.5,513.15,2783.25
104,2747.7,2090.25,537.3,2670.75
105,1865.55,2543.25,643.2,2850.0
106,1801.3,2777.4,630.3,2661.0
107,1764.4,2879.25,766.35,2610.0
108,1904.25,2638.2,672.3,2951.25
109,2948.9,1720.65,745.95,2740.5
110,2413.2,1785.75,715.8,2873.25
111,2235.45,2306.25,470.55,2913.75
112,2244.6,2655.75,502.65,2661.0
113,1700.55,2532.75,615.45,3155.25
114,2419.45,2232.75,697.8,2760.0
115,2395.7,1660.5,1133.55,2990.25
116,2735.7,1950.0,564.3,2790.0
117,3144.8,1848.75,601.95,2296.5
118,2575.45,1778.25,867.3,3033.0
119,2623.95,1999.5,633.3,2657.25
120,2214.65,2332.5,515.1,2961.75
121,1987.15,2405.25,776.1,3067.5
122,2051.45,2363.7,656.1,2334.75
123,1731.85,2788.5,801.15,2770.5
124,1840.9,2993.7,768.9,2692.5
125,1099.4,3127.95,285.9,3468.75
126,2038.55,2443.5,631.95,2946.0
127,2365.95,1843.5,1303.8,2898.75
128,2673.6,1974.75,697.65,2748.0
129,1515.1,3062.25,678.9,2877.75
130,1671.25,3015.15,779.1,2638.5
131,1551.3,3139.65,615.3,2649.75
132,1291.3,3275.25,483.45,2910.0
133,1045.5,3453.3,486.45,2808.75
134,491.05,3820.2,884.25,2890.5
135,2063.25,2524.5,378.75,2845.5
136,1888.1,2569.8,434.1,2808.0
137,2089.2,2358.0,562.05,3174.75
138,2617.4,2529.75,461.85,2415.0
139,2193.55,2439.0,604.95,2800.5
140,2198.65,2565.75,409.35,2822.25
141,1845.8,2490.75,790.2,2843.25
142,1970.8,2621.25,794.7,2825.25
143,2081.95,2792.25,490.8,2511.0
144,1905.55,2736.75,699.45,2720.25
145,1649.7,2586.0,634.8,3199.5
146,3032.2,1942.5,445.8,2467.5
147,2595.1,1872.0,474.15,3042.75
148,2717.3,1833.75,853.95,2865.0
149,2674.9,1686.0,1175.85,2855.25
150,2510.3,2079.75,712.2,2769.75
151,1968.95,2364.75,745.8,3142.5
152,2166.95,2289.75,636.3,3195.0
153,2667.2,2007.0,606.3,2923.5
154,2685.3,1595.25,945.45,3090.0
155,3004.0,1695.0,580.5,2740.5
156,2370.55,2420.25,615.45,2745.75
157,1308.5,3092.7,557.55,2825.25
158,1175.55,3149.7,443.25,2773.5
159,698.95,3781.2,977.1,2574.75
160,1422.65,2837.7,540.9,3054.75
161,2486.75,2266.2,509.55,2497.5
162,2370.6,2294.25,970.65,2356.5
163,2236.05,2277.0,927.45,2965.5
164,2505.45,2374.2,474.6,2559.75
165,1369.0,3414.0,601.5,2533.5
166,1139.5,3399.6,432.15,2730.75
167,202.0,4218.9,506.85,2876.25
168,1083.65,3079.65,460.2,3088.5
169,1396.0,3288.75,453.0,2894.25
170,2277.75,2668.2,653.55,2536.5
171,3414.95,1731.75,493.8,2431.5
172,2881.55,1689.75,831.45,2999.25
173,2248.25,1729.5,1418.25,3060.0
174,2563.65,2077.5,509.1,2949.75
175,2434.3,2337.75,460.2,2793.75
176,2597.9,2103.0,539.1,2850.0
177,2568.7,1634.25,772.8,3092.25
178,2560.6,2136.75,466.65,2802.0
179,2008.9,2389.5,521.1,3058.5
180,1560.45,2456.25,627.3,3372.0
181,2093.45,2477.25,541.05,2900.25
182,2043.9,2667.0,471.6,2899.5
