timestep,dyad_idx,agent_name,agent_type,ii_edge,aa_edge,observation_depth,investor_wealth,investor_cumulative,dyad_investor_cumulative,investment_desired,investment,investment_multiplied,repayment,repayment_pct,investor_reward,agent_reward,agent_cumulative,episode
0,0,a1,max,0,1,4,10.0,-10.0,-10.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,30.0,0
0,1,a2,fair,0,1,4,16.25,-13.75,-3.75,15.0,15.0,45.0,11.25,0.25,-3.75,33.75,33.75,0
1,0,a1,max,0,1,4,10.0,-13.75,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0
1,1,a2,fair,0,1,4,11.25,-18.75,-8.75,20.0,20.0,60.0,15.0,0.25,-5.0,45.0,78.75,0
2,0,a1,max,0,1,4,10.0,-18.75,-10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,0
2,1,a2,fair,0,1,4,10.0,-20.0,-10.0,5.0,5.0,15.0,3.75,0.25,-1.25,11.25,90.0,0
3,0,a1,max,0,1,4,10.0,-20.0,-10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,0
3,1,a2,fair,0,1,4,10.0,-20.0,-10.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,90.0,0
4,0,a1,max,0,1,4,10.0,-20.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0
4,1,a2,fair,0,1,4,12.5,-17.5,-7.5,5.0,5.0,15.0,7.5,0.5,2.5,7.5,97.5,0
5,0,a1,max,0,1,4,10.0,-17.5,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0
5,1,a2,fair,0,1,4,37.5,7.5,17.5,20.0,20.0,60.0,45.0,0.75,25.0,15.0,112.5,0
6,0,a1,max,0,1,4,10.0,7.5,-10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,0
6,1,a2,fair,0,1,4,62.5,32.5,42.5,20.0,20.0,60.0,45.0,0.75,25.0,15.0,127.5,0
7,0,a1,max,0,1,4,10.0,32.5,-10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,0
7,1,a2,fair,0,1,4,81.25,51.25,61.25,15.0,15.0,45.0,33.75,0.75,18.75,11.25,138.75,0
8,0,a1,max,0,1,4,0.0,41.25,-20.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,60.0,0
8,1,a2,fair,0,1,4,100.0,60.0,80.0,15.0,15.0,45.0,33.75,0.75,18.75,11.25,150.0,0
9,0,a1,max,0,1,4,-10.0,50.0,-30.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,90.0,0
9,1,a2,fair,0,1,4,118.75,68.75,98.75,15.0,15.0,45.0,33.75,0.75,18.75,11.25,161.25,0
0,0,a1,max,0,1,4,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1
0,1,a2,fair,0,1,4,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1
1,0,a1,max,0,1,4,15.0,-5.0,-5.0,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,15.0,1
1,1,a2,fair,0,1,4,20.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1
