iter,dgp,e_ii,sutva_status,tau_hat,se_hat,ci_low,ci_high
1,DGP 1: No investor communication,0,Fulfilled,12.029374999999998,1.3358647626016806,9.411080065300704,14.647669934699293
1,DGP 2: Investor communication,1,Violated,5.615625000000001,1.8048424740030196,2.078133750954083,9.153116249045919
2,DGP 1: No investor communication,0,Fulfilled,9.316874999999994,1.3077609805088697,6.7536634782026095,11.880086521797379
2,DGP 2: Investor communication,1,Violated,5.409999999999995,1.7634637279924246,1.953611093134843,8.866388906865147
3,DGP 1: No investor communication,0,Fulfilled,7.679374999999992,1.3367178607502115,5.059407992929578,10.299342007070408
3,DGP 2: Investor communication,1,Violated,9.375624999999976,1.7281556361514814,5.988439953143073,12.76281004685688
4,DGP 1: No investor communication,0,Fulfilled,6.558750000000012,1.340638963337075,3.931097631859345,9.18640236814068
4,DGP 2: Investor communication,1,Violated,9.253750000000013,1.7342250434545956,5.854668914829006,12.65283108517102
5,DGP 1: No investor communication,0,Fulfilled,8.75312500000001,1.3667968583558383,6.074203157622566,11.432046842377453
5,DGP 2: Investor communication,1,Violated,7.789375000000017,1.779529434268873,4.301497308833026,11.277252691167007
6,DGP 1: No investor communication,0,Fulfilled,9.368124999999997,1.3347688398755724,6.751978073843876,11.984271926156119
6,DGP 2: Investor communication,1,Violated,11.134374999999984,1.6856931674578843,7.830416391782531,14.438333608217437
7,DGP 1: No investor communication,0,Fulfilled,7.431874999999999,1.3026836422482426,4.878615061193443,9.985134938806555
7,DGP 2: Investor communication,1,Violated,8.017500000000005,1.7192773669959898,4.647716360687865,11.387283639312145
8,DGP 1: No investor communication,0,Fulfilled,8.048124999999985,1.3578338700585135,5.3867706146852985,10.70947938531467
8,DGP 2: Investor communication,1,Violated,6.192500000000006,1.7087943611780199,2.8432630520910873,9.541736947908925
9,DGP 1: No investor communication,0,Fulfilled,10.196874999999979,1.35488499182604,7.541300416020941,12.852449583979016
9,DGP 2: Investor communication,1,Violated,7.5306250000000166,1.7031297065348998,4.192490775191613,10.86875922480842
10,DGP 1: No investor communication,0,Fulfilled,8.837499999999991,1.3080537381643278,6.273714673197909,11.401285326802075
10,DGP 2: Investor communication,1,Violated,7.990625000000017,1.7145476138049893,4.630111676942239,11.351138323057796
11,DGP 1: No investor communication,0,Fulfilled,8.08000000000001,1.3603199158280406,5.413772964977051,10.74622703502297
11,DGP 2: Investor communication,1,Violated,8.165000000000001,1.7438779866456535,4.74699914617452,11.583000853825482
12,DGP 1: No investor communication,0,Fulfilled,6.486875000000008,1.3460725550403316,3.8485727921209585,9.125177207879059
12,DGP 2: Investor communication,1,Violated,11.466250000000016,1.6814794777729811,8.170550223564973,14.76194977643506
13,DGP 1: No investor communication,0,Fulfilled,9.57875000000001,1.3585881061274159,6.915917311990275,12.241582688009746
13,DGP 2: Investor communication,1,Violated,7.578125000000007,1.7544807108298563,4.139342806773488,11.016907193226526
14,DGP 1: No investor communication,0,Fulfilled,9.582500000000005,1.3048568853844045,7.024980504646573,12.140019495353437
14,DGP 2: Investor communication,1,Violated,7.565000000000008,1.7437243132819884,4.147300345967311,10.982699654032706
15,DGP 1: No investor communication,0,Fulfilled,8.787499999999966,1.3556671921528618,6.130392303380357,11.444607696619574
15,DGP 2: Investor communication,1,Violated,11.263124999999974,1.7295198767977773,7.873266041476331,14.652983958523617
16,DGP 1: No investor communication,0,Fulfilled,9.039374999999994,1.3246036911508616,6.443151765344306,11.635598234655683
16,DGP 2: Investor communication,1,Violated,8.793750000000024,1.7372970628762447,5.388647756762584,12.198852243237464
17,DGP 1: No investor communication,0,Fulfilled,8.172499999999964,1.351530315156321,5.523500582293575,10.821499417706352
17,DGP 2: Investor communication,1,Violated,7.981874999999958,1.7092229014705076,4.631798113117763,11.331951886882152
18,DGP 1: No investor communication,0,Fulfilled,10.44187500000001,1.3204460885604792,7.853800666421471,13.02994933357855
18,DGP 2: Investor communication,1,Violated,9.213750000000024,1.7537606175437284,5.776379189614317,12.65112081038573
19,DGP 1: No investor communication,0,Fulfilled,5.606250000000022,1.3025103816214791,3.0533296520219233,8.159170347978122
19,DGP 2: Investor communication,1,Violated,6.489375000000019,1.7388722804355257,3.081185330346389,9.89756466965365
20,DGP 1: No investor communication,0,Fulfilled,10.880625000000013,1.3398427835175006,8.25453314430571,13.506716855694314
20,DGP 2: Investor communication,1,Violated,9.924375000000012,1.6414231904088228,6.707185546798719,13.141564453201305
21,DGP 1: No investor communication,0,Fulfilled,10.324374999999998,1.3445821414549197,7.688994002748355,12.95975599725164
21,DGP 2: Investor communication,1,Violated,6.817499999999971,1.7662476739374486,3.3556545590825713,10.27934544091737
22,DGP 1: No investor communication,0,Fulfilled,9.917499999999992,1.344473165104249,7.282332596395664,12.55266740360432
22,DGP 2: Investor communication,1,Violated,6.314375000000021,1.7492773518443445,2.8857913903851062,9.742958609614936
23,DGP 1: No investor communication,0,Fulfilled,8.31375000000001,1.3446606619848902,5.678215102509625,10.949284897490394
23,DGP 2: Investor communication,1,Violated,8.026249999999987,1.797391615358974,4.503362433896398,11.549137566103575
24,DGP 1: No investor communication,0,Fulfilled,8.479375000000001,1.3547057414824035,5.82415174669449,11.134598253305512
24,DGP 2: Investor communication,1,Violated,6.675624999999988,1.7325864821206938,3.279755495043428,10.071494504956547
25,DGP 1: No investor communication,0,Fulfilled,7.461874999999999,1.3322672338787152,4.850631221597718,10.07311877840228
25,DGP 2: Investor communication,1,Violated,8.349999999999994,1.770709786363224,4.879408818728075,11.820591181271913
26,DGP 1: No investor communication,0,Fulfilled,9.073749999999997,1.3253645331882578,6.476035514951011,11.671464485048983
26,DGP 2: Investor communication,1,Violated,11.130000000000013,1.7435162959014863,7.7127080600331,14.547291939966925
27,DGP 1: No investor communication,0,Fulfilled,8.704999999999991,1.3269063735901914,6.104263507763216,11.305736492236766
27,DGP 2: Investor communication,1,Violated,6.571875000000002,1.7501719576024615,3.1415379630991778,10.002212036900826
28,DGP 1: No investor communication,0,Fulfilled,9.006249999999993,1.3435675671141925,6.372857568456175,11.639642431543809
28,DGP 2: Investor communication,1,Violated,6.812499999999982,1.7329904759067,3.4158386672228502,10.209161332777114
29,DGP 1: No investor communication,0,Fulfilled,9.063750000000026,1.3548306220527913,6.408281980776555,11.719218019223497
29,DGP 2: Investor communication,1,Violated,9.319374999999997,1.7558641646847923,5.877881237217805,12.76086876278219
30,DGP 1: No investor communication,0,Fulfilled,6.944374999999995,1.3559570162718475,4.2866992481071735,9.602050751892815
30,DGP 2: Investor communication,1,Violated,9.63000000000001,1.7233802071966884,6.2521747938945005,13.007825206105519
31,DGP 1: No investor communication,0,Fulfilled,9.402500000000009,1.3705011586166302,6.716317729111413,12.088682270888604
31,DGP 2: Investor communication,1,Violated,8.560624999999996,1.7388497553033149,5.1524794796055,11.968770520394493
32,DGP 1: No investor communication,0,Fulfilled,9.571249999999994,1.3262195828064496,6.971859617699353,12.170640382300634
32,DGP 2: Investor communication,1,Violated,8.629374999999996,1.7054450968956494,5.286702610084523,11.972047389915469
33,DGP 1: No investor communication,0,Fulfilled,6.423750000000007,1.3678998792920718,3.7426662365875467,9.104833763412469
33,DGP 2: Investor communication,1,Violated,6.371875000000026,1.6873751468058114,3.064619712260636,9.679130287739415
34,DGP 1: No investor communication,0,Fulfilled,9.980000000000002,1.327940142437487,7.377237320822528,12.582762679177478
34,DGP 2: Investor communication,1,Violated,10.853749999999986,1.714753458194833,7.492833221938113,14.214666778061858
35,DGP 1: No investor communication,0,Fulfilled,10.882499999999999,1.3486519016393919,8.23914227278679,13.525857727213207
35,DGP 2: Investor communication,1,Violated,4.4843750000000036,1.7597921030565948,1.035182478009078,7.933567521990929
36,DGP 1: No investor communication,0,Fulfilled,10.448125,1.3083147950081473,7.88382800178403,13.012421998215968
36,DGP 2: Investor communication,1,Violated,7.903125000000001,1.713106917703431,4.545435441301276,11.260814558698726
37,DGP 1: No investor communication,0,Fulfilled,11.160000000000004,1.387584658655081,8.440334069036044,13.879665930963963
37,DGP 2: Investor communication,1,Violated,10.183749999999982,1.721349924550564,6.809904147880877,13.557595852119087
38,DGP 1: No investor communication,0,Fulfilled,11.285625000000001,1.3664382338057475,8.607406061740736,13.963843938259267
38,DGP 2: Investor communication,1,Violated,10.148749999999996,1.7389851383778434,6.740339128779423,13.55716087122057
39,DGP 1: No investor communication,0,Fulfilled,8.523125000000004,1.3332436500607474,5.909967445880939,11.136282554119068
39,DGP 2: Investor communication,1,Violated,7.437499999999984,1.7133338052911191,4.07936574162939,10.795634258370578
40,DGP 1: No investor communication,0,Fulfilled,11.119375000000007,1.3331547363905343,8.50639171667456,13.732358283325453
40,DGP 2: Investor communication,1,Violated,6.249375000000006,1.6882988607701106,2.940309232890589,9.558440767109422
41,DGP 1: No investor communication,0,Fulfilled,9.66437500000001,1.401370775003323,6.917688280993497,12.411061719006524
41,DGP 2: Investor communication,1,Violated,5.603125000000002,1.6643091461379085,2.3410790735697016,8.865170926430302
42,DGP 1: No investor communication,0,Fulfilled,8.571249999999973,1.374658856920661,5.876918640435477,11.265581359564468
42,DGP 2: Investor communication,1,Violated,9.31437500000001,1.7827984566781558,5.820090024910826,12.808659975089196
43,DGP 1: No investor communication,0,Fulfilled,10.045624999999994,1.3654515117270731,7.369340037014931,12.721909962985057
43,DGP 2: Investor communication,1,Violated,8.29750000000002,1.656587326830423,5.0505888394123915,11.54441116058765
44,DGP 1: No investor communication,0,Fulfilled,9.868125000000013,1.3285540986736248,7.264158966599709,12.472091033400318
44,DGP 2: Investor communication,1,Violated,9.240000000000002,1.7214441903731041,5.865969386868718,12.614030613131286
45,DGP 1: No investor communication,0,Fulfilled,11.195624999999989,1.326225099601002,8.596223804782024,13.795026195217954
45,DGP 2: Investor communication,1,Violated,8.668125000000003,1.7063247222406412,5.323728544408347,12.01252145559166
46,DGP 1: No investor communication,0,Fulfilled,7.270000000000008,1.3641314297686578,4.596302397653439,9.943697602346576
46,DGP 2: Investor communication,1,Violated,7.183749999999986,1.7471224299466597,3.7593900373045326,10.608109962695439
47,DGP 1: No investor communication,0,Fulfilled,7.644999999999996,1.327741989906371,5.042625699783509,10.247374300216483
47,DGP 2: Investor communication,1,Violated,7.414375000000016,1.7007148954969322,4.080973804826028,10.747776195174003
48,DGP 1: No investor communication,0,Fulfilled,9.710000000000004,1.3652056271394142,7.034196970806753,12.385803029193255
48,DGP 2: Investor communication,1,Violated,6.511874999999985,1.6766230341919872,3.22569385298369,9.798056147016279
49,DGP 1: No investor communication,0,Fulfilled,6.782499999999999,1.3136774676891256,4.2076921633293125,9.357307836670685
49,DGP 2: Investor communication,1,Violated,8.81437499999999,1.7748339131884352,5.335700530150657,12.293049469849322
50,DGP 1: No investor communication,0,Fulfilled,10.092499999999998,1.3109596146353861,7.523019155314641,12.661980844685354
50,DGP 2: Investor communication,1,Violated,7.140000000000002,1.7289678265862514,3.7512230598909495,10.528776940109054
51,DGP 1: No investor communication,0,Fulfilled,11.431875000000005,1.3626237561861323,8.761132437875187,14.102617562124824
51,DGP 2: Investor communication,1,Violated,8.069374999999996,1.689291602485373,4.758363459128665,11.380386540871326
52,DGP 1: No investor communication,0,Fulfilled,7.793749999999987,1.3455644060819385,5.156443764079388,10.431056235920586
52,DGP 2: Investor communication,1,Violated,4.457500000000012,1.7850415133700546,0.9588186337947051,7.956181366205319
53,DGP 1: No investor communication,0,Fulfilled,8.963749999999996,1.34744686778329,6.322754139144747,11.604745860855244
53,DGP 2: Investor communication,1,Violated,7.854999999999995,1.7453613268206534,4.434091799431515,11.275908200568475
54,DGP 1: No investor communication,0,Fulfilled,7.613125000000014,1.3459665093172097,4.975030641738283,10.251219358261746
54,DGP 2: Investor communication,1,Violated,10.582500000000033,1.7706880588705676,7.1119514046137216,14.053048595386345
55,DGP 1: No investor communication,0,Fulfilled,10.54000000000002,1.3420941476200818,7.909495470664661,13.17050452933538
55,DGP 2: Investor communication,1,Violated,5.6212499999999785,1.6922459877931324,2.304447863925439,8.938052136074518
56,DGP 1: No investor communication,0,Fulfilled,7.140624999999998,1.306438609067082,4.580005326228518,9.701244673771479
56,DGP 2: Investor communication,1,Violated,2.4387500000000095,1.7825819309439979,-1.055110584650226,5.932610584650245
57,DGP 1: No investor communication,0,Fulfilled,8.54125000000002,1.3212219560485041,5.951654966144951,11.130845033855088
57,DGP 2: Investor communication,1,Violated,7.653750000000029,1.7282857551165642,4.2663099199715635,11.041190080028494
58,DGP 1: No investor communication,0,Fulfilled,10.220000000000002,1.357512608947776,7.559275286462361,12.880724713537644
58,DGP 2: Investor communication,1,Violated,7.692500000000011,1.743205035285593,4.27581813084025,11.109181869159773
59,DGP 1: No investor communication,0,Fulfilled,8.743749999999997,1.3868450030554977,6.0255337940112215,11.461966205988773
59,DGP 2: Investor communication,1,Violated,8.318125,1.6984293496095066,4.989203474765367,11.647046525234632
60,DGP 1: No investor communication,0,Fulfilled,8.518749999999992,1.3558862418869921,5.861212965901487,11.176287034098497
60,DGP 2: Investor communication,1,Violated,7.762500000000003,1.7566194244706042,4.319525928037619,11.205474071962387
61,DGP 1: No investor communication,0,Fulfilled,9.344999999999986,1.3426718598346876,6.713363154723998,11.976636845275975
61,DGP 2: Investor communication,1,Violated,3.5249999999999986,1.7471999261105038,0.1004881448234114,6.949511855176586
62,DGP 1: No investor communication,0,Fulfilled,7.951874999999987,1.3756766397218647,5.255548786145132,10.648201213854842
62,DGP 2: Investor communication,1,Violated,8.807500000000042,1.7120277893923475,5.451925532791041,12.163074467209043
63,DGP 1: No investor communication,0,Fulfilled,6.134375000000016,1.3651372782472588,3.4587059346353892,8.810044065364643
63,DGP 2: Investor communication,1,Violated,7.554375000000022,1.7294411925019895,4.164670262696122,10.944079737303921
64,DGP 1: No investor communication,0,Fulfilled,8.185625000000023,1.3145334501453079,5.6091394377152195,10.762110562284827
64,DGP 2: Investor communication,1,Violated,7.6837499999999945,1.7389519625759875,4.275404153351059,11.092095846648931
65,DGP 1: No investor communication,0,Fulfilled,8.93125000000001,1.343228230520325,6.298522668180173,11.563977331819846
65,DGP 2: Investor communication,1,Violated,7.0306250000000095,1.76504647546316,3.5711339080922158,10.490116091907803
66,DGP 1: No investor communication,0,Fulfilled,9.57749999999999,1.338260014799431,6.9545103709931055,12.200489629006874
66,DGP 2: Investor communication,1,Violated,3.9212499999999846,1.7486241174915247,0.49394672971659626,7.348553270283373
67,DGP 1: No investor communication,0,Fulfilled,12.513749999999998,1.3222834398168837,9.922074457958907,15.10542554204109
67,DGP 2: Investor communication,1,Violated,10.453749999999985,1.7308998367073283,7.061186320053622,13.846313679946348
68,DGP 1: No investor communication,0,Fulfilled,8.212500000000011,1.3706556414769235,5.526014942705241,10.89898505729478
68,DGP 2: Investor communication,1,Violated,9.368125000000006,1.6772102659097201,6.080792878816955,12.655457121183058
69,DGP 1: No investor communication,0,Fulfilled,10.726874999999998,1.361470171248378,8.058393464353177,13.395356535646819
69,DGP 2: Investor communication,1,Violated,5.635000000000007,1.7470390310020498,2.2108034992359893,9.059196500764024
70,DGP 1: No investor communication,0,Fulfilled,11.126875000000014,1.360950689251986,8.459411649066121,13.794338350933907
70,DGP 2: Investor communication,1,Violated,10.024374999999988,1.759199607170045,6.5763437699467,13.472406230053277
71,DGP 1: No investor communication,0,Fulfilled,9.13125,1.3250367597172925,6.534177950954106,11.728322049045893
71,DGP 2: Investor communication,1,Violated,6.186249999999986,1.757025271808725,2.7424804672548855,9.630019532745086
72,DGP 1: No investor communication,0,Fulfilled,7.859374999999999,1.3369197594152697,5.23901227154607,10.479737728453928
72,DGP 2: Investor communication,1,Violated,10.286874999999995,1.7191314435906935,6.917377370562235,13.656372629437755
73,DGP 1: No investor communication,0,Fulfilled,10.563124999999996,1.35317740185009,7.91089729237382,13.215352707626172
73,DGP 2: Investor communication,1,Violated,9.543125000000018,1.6781701916974023,6.2539114242731095,12.832338575726926
74,DGP 1: No investor communication,0,Fulfilled,6.804999999999969,1.3175403908159449,4.2226208340007165,9.38737916599922
