iter,dgp,e_ii,sutva_status,tau_hat,se_hat,ci_low,ci_high,tau_truth,error,covered
1,DGP 1: No investor communication,0,Fulfilled,12.029374999999998,1.3358647626016806,9.411080065300704,14.647669934699293,8.906874999999996,3.1225000000000023,FALSE
1,DGP 2: Investor communication,1,Violated,5.615625000000001,1.8048424740030196,2.078133750954083,9.153116249045919,8.095625000000034,-2.4800000000000324,TRUE
2,DGP 1: No investor communication,0,Fulfilled,9.316874999999994,1.3077609805088697,6.7536634782026095,11.880086521797379,8.906874999999996,0.40999999999999837,TRUE
2,DGP 2: Investor communication,1,Violated,5.409999999999995,1.7634637279924246,1.953611093134843,8.866388906865147,8.095625000000034,-2.685625000000039,TRUE
3,DGP 1: No investor communication,0,Fulfilled,7.679374999999992,1.3367178607502115,5.059407992929578,10.299342007070408,8.906874999999996,-1.2275000000000036,TRUE
3,DGP 2: Investor communication,1,Violated,9.375624999999976,1.7281556361514814,5.988439953143073,12.76281004685688,8.095625000000034,1.2799999999999425,TRUE
4,DGP 1: No investor communication,0,Fulfilled,6.558750000000012,1.340638963337075,3.931097631859345,9.18640236814068,8.906874999999996,-2.3481249999999836,TRUE
4,DGP 2: Investor communication,1,Violated,9.253750000000013,1.7342250434545956,5.854668914829006,12.65283108517102,8.095625000000034,1.1581249999999788,TRUE
5,DGP 1: No investor communication,0,Fulfilled,8.75312500000001,1.3667968583558383,6.074203157622566,11.432046842377453,8.906874999999996,-0.1537499999999863,TRUE
5,DGP 2: Investor communication,1,Violated,7.789375000000017,1.779529434268873,4.301497308833026,11.277252691167007,8.095625000000034,-0.30625000000001723,TRUE
6,DGP 1: No investor communication,0,Fulfilled,9.368124999999997,1.3347688398755724,6.751978073843876,11.984271926156119,8.906874999999996,0.4612500000000015,TRUE
6,DGP 2: Investor communication,1,Violated,11.134374999999984,1.6856931674578843,7.830416391782531,14.438333608217437,8.095625000000034,3.0387499999999505,TRUE
7,DGP 1: No investor communication,0,Fulfilled,7.431874999999999,1.3026836422482426,4.878615061193443,9.985134938806555,8.906874999999996,-1.474999999999997,TRUE
7,DGP 2: Investor communication,1,Violated,8.017500000000005,1.7192773669959898,4.647716360687865,11.387283639312145,8.095625000000034,-0.07812500000002842,TRUE
8,DGP 1: No investor communication,0,Fulfilled,8.048124999999985,1.3578338700585135,5.3867706146852985,10.70947938531467,8.906874999999996,-0.8587500000000112,TRUE
8,DGP 2: Investor communication,1,Violated,6.192500000000006,1.7087943611780199,2.8432630520910873,9.541736947908925,8.095625000000034,-1.9031250000000277,TRUE
9,DGP 1: No investor communication,0,Fulfilled,10.196874999999979,1.35488499182604,7.541300416020941,12.852449583979016,8.906874999999996,1.2899999999999832,TRUE
9,DGP 2: Investor communication,1,Violated,7.5306250000000166,1.7031297065348998,4.192490775191613,10.86875922480842,8.095625000000034,-0.5650000000000173,TRUE
10,DGP 1: No investor communication,0,Fulfilled,8.837499999999991,1.3080537381643278,6.273714673197909,11.401285326802075,8.906874999999996,-0.0693750000000044,TRUE
10,DGP 2: Investor communication,1,Violated,7.990625000000017,1.7145476138049893,4.630111676942239,11.351138323057796,8.095625000000034,-0.10500000000001641,TRUE
11,DGP 1: No investor communication,0,Fulfilled,8.08000000000001,1.3603199158280406,5.413772964977051,10.74622703502297,8.906874999999996,-0.8268749999999851,TRUE
11,DGP 2: Investor communication,1,Violated,8.165000000000001,1.7438779866456535,4.74699914617452,11.583000853825482,8.095625000000034,0.0693749999999671,TRUE
12,DGP 1: No investor communication,0,Fulfilled,6.486875000000008,1.3460725550403316,3.8485727921209585,9.125177207879059,8.906874999999996,-2.4199999999999875,TRUE
